# X , Y , E , DX
1
0.000381964,0,0,0
0.000629858,0,0,0
0.000877752,0,0,0
0.00112565,0,0,0
0.00137354,0,0,0
0.00162143,0,0,0
0.00186933,0,0,0.000153244
0.00211722,18.3396,8.86095,0.000308851
0.00236512,36.2646,2.6246,0.000311025
0.00261301,37.7358,1.45608,0.000310854
0.0028609,41.8078,1.17781,0.000311171
0.0031088,46.7748,1.29626,0.000311384
0.00335669,55.9809,1.30454,0.000311337
0.00360459,67.2058,1.31365,0.000311161
0.00385248,90.8451,1.6188,0.000311096
0.00410037,122.054,1.62736,0.000311443
0.00434827,153.508,1.85442,0.00031142
0.00459616,198.736,2.07078,0.00031132
0.00484406,231.329,2.04478,0.000311548
0.00509195,251.173,2.28838,0.000311493
0.00533984,265.986,2.16416,0.000311519
0.00558774,254.311,2.01752,0.000311714
0.00583563,229.761,2.00729,0.000311733
0.00608353,189.371,1.66715,0.000311884
0.00633142,145.681,1.46138,0.00031195
0.00657931,105.721,1.25324,0.000311866
0.00682721,70.303,0.943122,0.000312168
0.0070751,45.2903,0.78067,0.00031229
0.007323,28.5901,0.605824,0.00031228
0.00757089,18.0007,0.452422,0.000312688
0.00781878,13.2594,0.407877,0.000312667
0.00806668,9.73978,0.346613,0.00031256
0.00831457,8.32223,0.311364,0.000312696
0.00856247,7.64153,0.298367,0.000312575
0.00881036,7.04148,0.268694,0.000312736
0.00905825,6.48369,0.259223,0.000312815
0.00930615,6.8748,0.270562,0.000312789
0.00955404,7.5461,0.269033,0.000313365
0.00980194,7.1658,0.26309,0.000313373
0.0100498,6.88546,0.253351,0.000313291
0.0102977,6.12279,0.23089,0.00031365
0.0105456,5.54467,0.22453,0.000313619
0.0107935,5.30326,0.214557,0.000313723
0.0110414,4.43643,0.191482,0.000313977
0.0112893,3.81704,0.180099,0.000313937
0.0115372,3.78045,0.177514,0.000313999
0.0117851,2.68568,0.150487,0.000314019
0.012033,2.39564,0.140729,0.000313909
0.0122809,1.82825,0.118357,0.000314322
0.0125288,1.59129,0.11292,0.000314728
