# X 	 Y 	 E 	 DX

0.003075	2.21761	1.3262	0.000774595
0.00322875	0.894829	1.69089	0.00077642
0.00339019	0.900927	0.599399	0.000778426
0.0035597	0.187714	1.54056	0.000780632
0.00373768	0.938832	0.565926	0.000783057
0.00392457	1.74971	1.54523	0.000785722
0.00412079	0.974086	0.371776	0.00078865
0.00432683	0.773463	0.703914	0.000791865
0.00454318	0.537722	0.386766	0.000795395
0.00477033	0.943408	0.31284	0.000799268
0.00500885	0.841651	0.392735	0.000803517
0.00525929	0.857167	0.256715	0.000808175
0.00552226	0.533395	0.213488	0.00081328
0.00579837	1.17991	0.214477	0.000818871
0.00608829	0.617452	0.21118	0.000824992
0.0063927	1.10365	0.133775	0.000831688
0.00671234	0.77423	0.145132	0.000839008
0.00704796	0.951768	0.111506	0.000847005
0.00740035	0.906414	0.111571	0.000855735
0.00777037	0.862834	0.0902758	0.000865257
0.00815889	0.894521	0.0861559	0.000875636
0.00856683	0.810517	0.0716673	0.000886938
0.00899518	0.98573	0.0810954	0.000899234
0.00944494	0.919908	0.0592072	0.000912598
0.00991718	0.855528	0.0570021	0.000927109
0.010413	0.829806	0.0580442	0.000942848
0.0109337	0.983823	0.0503136	0.000959902
0.0114804	0.956292	0.0498891	0.000978359
0.0120544	0.881428	0.0453257	0.000998312
0.0126571	1.01275	0.0484037	0.00101986
0.01329	0.975803	0.0397165	0.0010431
0.0139545	1.00799	0.0513041	0.00106813
0.0146522	0.895486	0.0497587	0.00109507
0.0153848	0.926649	0.0490639	0.00112402
0.016154	0.985754	0.0481133	0.0011551
0.0169617	0.930201	0.0449179	0.00118842
0.0178098	0.900383	0.0390588	0.00122411
0.0187003	0.931643	0.0401275	0.00126229
0.0196353	0.953646	0.0383592	0.00130308
0.0206171	0.985178	0.0382068	0.00134662
0.021648	0.964199	0.0339287	0.00139305
0.0227304	1.05729	0.0351109	0.00144251
0.0238669	0.993456	0.0321426	0.00149514
0.0250602	0.967007	0.0293069	0.0015511
0.0263132	1.00467	0.0297477	0.00161054
0.0276289	1.00856	0.027539	0.00167363
0.0290103	1.00985	0.0266682	0.00174054
0.0304609	1.09615	0.0266005	0.00181145
0.0319839	1.03416	0.0241189	0.00188653
0.0335831	1.00706	0.0232438	0.00196599
0.0352623	1.00516	0.0327823	0.00205003
0.0370254	0	0	0.00213886
0.0388766	0	0	0.00223271
0.0408205	0	0	0.0023318
0.0428615	0	0	0.00243638
0.0444534	0	0	0.00251828
