# X 	 Y 	 E 	 DX

0.035875	0	0	0.00208084
0.0376688	0	0	0.00217142
0.0395522	0	0	0.00226708
0.0415298	0	0	0.00236808
0.0436063	0	0	0.00247466
0.0457866	0	0	0.00258708
0.0480759	0	0	0.00270561
0.0504797	0	0	0.00283055
0.0530037	0	0	0.00296219
0.0556539	0	0	0.00310085
0.0584366	0	0	0.00324687
0.0613584	0	0	0.0034006
0.0644263	0	0	0.00356241
0.0676477	0	0	0.00373268
0.07103	0	0	0.00391182
0.0745815	0	0	0.00410026
0.0783106	0	0	0.00429845
0.0822262	0	0	0.00450687
0.0863375	0	0	0.00472601
0.0906543	0	0	0.0049564
0.0951871	0	0	0.00519858
0.0999464	0	0	0.00545313
0.104944	0	0	0.00572066
0.110191	0	0	0.00600181
0.1157	0	0	0.00629724
0.121485	0	0	0.00660767
0.12756	0	0	0.00693382
0.133938	0	0	0.00727648
0.140635	1.07641	0.0231186	0.00763647
0.147666	1.06624	0.0163333	0.00801463
0.15505	1.10787	0.0147172	0.00841187
0.162802	1.08368	0.0129918	0.00882915
0.170942	1.09494	0.0130596	0.00926744
0.179489	1.0885	0.00900529	0.00972779
0.188464	1.0829	0.00940189	0.0102113
0.197887	1.07861	0.00818117	0.0107191
0.207781	1.07544	0.00815417	0.0112525
0.21817	1.0884	0.00685569	0.0118126
0.229079	1.08818	0.00638961	0.0124009
0.240533	1.08976	0.00606531	0.0130187
0.25256	1.0788	0.00521479	0.0136675
0.265188	1.08451	0.00523866	0.0143488
0.278447	1.09421	0.00470007	0.0150643
0.292369	1.08102	0.00439227	0.0158157
0.306988	1.07963	0.00414893	0.0166047
0.322337	1.07654	0.00389263	0.0174332
0.338454	1.07973	0.00368006	0.0183033
0.355377	1.08065	0.00340372	0.0192169
0.373146	1.07742	0.00323197	0.0201763
0.391803	1.07369	0.00301226	0.0211838
0.411393	1.07238	0.00285316	0.0222416
0.431963	1.054	0.00266968	0.0233524
0.453561	0.983449	0.00578946	0.0245189
0.476239	0	0	0.0257437
0.500051	0	0	0.0270298
0.525053	0	0	0.0283802
0.551306	0	0	0.0297983
0.578871	0	0	0.0312872
0.607815	0	0	0.0328507
0.638206	0	0	0.0344924
0.670116	0	0	0.0362162
0.703622	0	0	0.0380262
0.738803	0	0	0.0399268
0.775743	0	0	0.0419224
0.81453	0	0	0.0440179
0.842198	0	0	0.0455127
