# X 	 Y 	 E 	 DX

0.003075	105.683	1.93004	0.000774595
0.00322875	78.4522	1.37164	0.00077642
0.00339019	75.6726	1.29059	0.000778426
0.0035597	66.2971	1.21781	0.000780632
0.00373768	53.9985	0.913545	0.000783057
0.00392457	47.0987	0.95646	0.000785722
0.00412079	38.7294	0.64579	0.00078865
0.00432683	32.8619	0.667065	0.000791865
0.00454318	29.5852	0.591625	0.000795395
0.00477033	25.6235	0.487056	0.000799268
0.00500885	22.9924	0.455416	0.000803517
0.00525929	19.5547	0.388929	0.000808175
0.00552226	17.4147	0.34616	0.00081328
0.00579837	15.5886	0.308331	0.000818871
0.00608829	14.3237	0.282102	0.000824992
0.0063927	12.5027	0.237557	0.000831688
0.00671234	10.8746	0.22074	0.000839008
0.00704796	9.55943	0.18846	0.000847005
0.00740035	8.92576	0.173058	0.000855735
0.00777037	8.00493	0.157107	0.000865257
0.00815889	7.08992	0.137708	0.000875636
0.00856683	6.49153	0.123835	0.000886938
0.00899518	5.87991	0.114244	0.000899234
0.00944494	5.26935	0.100133	0.000912598
0.00991718	4.78739	0.0914905	0.000927109
0.010413	4.59123	0.0869819	0.000942848
0.0109337	4.20939	0.077023	0.000959902
0.0114804	3.63539	0.068289	0.000978359
0.0120544	3.37767	0.063207	0.000998312
0.0126571	3.14508	0.0585641	0.00101986
0.01329	2.77596	0.0514017	0.0010431
0.0139545	2.5775	0.0490234	0.00106813
0.0146522	2.45647	0.0476085	0.00109507
0.0153848	2.19143	0.0434829	0.00112402
0.016154	2.05899	0.0408069	0.0011551
0.0169617	1.95785	0.0388319	0.00118842
0.0178098	1.81459	0.0354999	0.00122411
0.0187003	1.64846	0.0328163	0.00126229
0.0196353	1.57046	0.0310373	0.00130308
0.0206171	1.42953	0.0284963	0.00134662
0.021648	1.3719	0.0269814	0.00139305
0.0227304	1.28425	0.025279	0.00144251
0.0238669	1.15608	0.0232185	0.00149514
0.0250602	1.10062	0.021604	0.0015511
0.0263132	0.99368	0.0202015	0.00161054
0.0276289	0.94401	0.0188341	0.00167363
0.0290103	0.909061	0.0179221	0.00174054
0.0304609	0.850979	0.0168501	0.00181145
0.0319839	0.775279	0.0155959	0.00188653
0.0335831	0.71461	0.0154662	0.00196599
0.0352623	0.669564	0.0160522	0.00205003
0.0370254	0.663502	0.0190667	0.00213886
0.0388766	0.595166	0.0214663	0.00223271
0.0408205	0.568995	0.0239368	0.0023318
0.0428615	0.501848	0.0265342	0.00243638
0.0444534	0.491931	0.0332877	0.00251828
