# X	Y	E	DX
			
0.6	0.14	0.0001	0.001
0.62	0.135	0.0001	0.001
0.64	0.13	0.0001	0.001
0.66	0.125	0.0001	0.001
0.68	0.12	0.0001	0.001
0.7	0.115	0.0001	0.001
0.72	0.11	0.0001	0.001
0.74	0.105	0.0001	0.001
0.76	0.1	0.0001	0.001
0.78	0.095	0.0001	0.001
0.8	0.09	0.0001	0.001
0.82	0.085	0.0001	0.001
0.84	0.08	0.0001	0.001
0.86	0.075	0.0001	0.001
0.88	0.07	0.0001	0.001
0.9	0.069	0.0001	0.001
0.92	0.068	0.0001	0.001
0.94	0.067	0.0001	0.001
0.96	0.066	0.0001	0.001
0.98	0.065	0.0001	0.001
1	0.064	0.0001	0.001
1.02	0.063	0.0001	0.001
1.04	0.062	0.0001	0.001
1.06	0.061	0.0001	0.001
1.08	0.06	0.0001	0.001
1.1	0.059	0.0001	0.001
1.12	0.058	0.0001	0.001
1.14	0.057	0.0001	0.001
1.16	0.056	0.0001	0.001
1.18	0.055	0.0001	0.001
1.2	0.054	0.0001	0.001
1.22	0.053	0.0001	0.001
1.24	0.052	0.0001	0.001
1.26	0.051	0.0001	0.001
1.28	0.05	0.0001	0.001
1.3	0.049	0.0001	0.001
1.32	0.048	0.0001	0.001
1.34	0.047	0.0001	0.001
1.36	0.046	0.0001	0.001
1.38	0.045	0.0001	0.001
1.4	0.044	0.0001	0.001
1.42	0.043	0.0001	0.001
1.44	0.042	0.0001	0.001
1.46	0.041	0.0001	0.001
1.48	0.04	0.0001	0.001
1.5	0.039	0.0001	0.001
1.52	0.038	0.0001	0.001
1.54	0.037	0.0001	0.001
1.56	0.036	0.0001	0.001
1.58	0.035	0.0001	0.001
1.6	0.034	0.0001	0.001
1.62	0.033	0.0001	0.001
1.64	0.032	0.0001	0.001
1.66	0.031	0.0001	0.001
1.68	0.03	0.0001	0.001
1.7	0.029	0.0001	0.001
1.72	0.028	0.0001	0.001
1.74	0.027	0.0001	0.001
1.76	0.026	0.0001	0.001
1.78	0.025	0.0001	0.001
1.8	0.024	0.0001	0.001
1.82	0.023	0.0001	0.001
1.84	0.022	0.0001	0.001
1.86	0.021	0.0001	0.001
1.88	0.02	0.0001	0.001
1.9	0.019	0.0001	0.001
