# X 	 Y 	 E 	 DX

0.003075	105.799	1.91402	0.000774595
0.00322875	76.5106	1.34602	0.00077642
0.00339019	75.0019	1.27632	0.000778426
0.0035597	65.1498	1.20251	0.000780632
0.00373768	51.0313	0.887533	0.000783057
0.00392457	43.9503	0.923948	0.000785722
0.00412079	36.6877	0.627044	0.00078865
0.00432683	33.0715	0.664228	0.000791865
0.00454318	29.1418	0.585319	0.000795395
0.00477033	25.1961	0.48269	0.000799268
0.00500885	23.0137	0.450794	0.000803517
0.00525929	19.1316	0.382246	0.000808175
0.00552226	17.8436	0.346194	0.00081328
0.00579837	14.5081	0.296467	0.000818871
0.00608829	13.8107	0.27534	0.000824992
0.0063927	12.2604	0.234001	0.000831688
0.00671234	10.5168	0.215772	0.000839008
0.00704796	9.53568	0.187248	0.000847005
0.00740035	8.68786	0.169617	0.000855735
0.00777037	7.54887	0.151164	0.000865257
0.00815889	6.87022	0.134853	0.000875636
0.00856683	6.39693	0.122258	0.000886938
0.00899518	5.70092	0.112077	0.000899234
0.00944494	5.19472	0.0992915	0.000912598
0.00991718	4.80458	0.0913123	0.000927109
0.010413	4.26179	0.0831569	0.000942848
0.0109337	3.8987	0.0736582	0.000959902
0.0114804	3.58501	0.0676072	0.000978359
0.0120544	3.24138	0.0610461	0.000998312
0.0126571	3.05004	0.0574442	0.00101986
0.01329	2.80589	0.0514519	0.0010431
0.0139545	2.54313	0.0483065	0.00106813
0.0146522	2.33378	0.0461882	0.00109507
0.0153848	2.23902	0.0436465	0.00112402
0.016154	1.95749	0.039608	0.0011551
0.0169617	1.90018	0.0378258	0.00118842
0.0178098	1.6962	0.034304	0.00122411
0.0187003	1.63111	0.0324703	0.00126229
0.0196353	1.50287	0.0301535	0.00130308
0.0206171	1.42031	0.028213	0.00134662
0.021648	1.31375	0.0263487	0.00139305
0.0227304	1.21071	0.0245057	0.00144251
0.0238669	1.13681	0.0230102	0.00149514
0.0250602	1.04001	0.0210502	0.0015511
0.0263132	1.04147	0.0204737	0.00161054
0.0276289	0.904706	0.0184687	0.00167363
0.0290103	0.863264	0.0173842	0.00174054
0.0304609	0.799734	0.0163349	0.00181145
0.0319839	0.7556	0.0153888	0.00188653
0.0335831	0.693578	0.0151553	0.00196599
0.0352623	0.657248	0.0158528	0.00205003
0.0370254	0.607898	0.0184134	0.00213886
0.0388766	0.575315	0.0209172	0.00223271
0.0408205	0.535844	0.023216	0.0023318
0.0428615	0.49987	0.0260903	0.00243638
0.0444534	0.425578	0.0316781	0.00251828
