# X 	 Y 	 E 	 DX

0.003075	87.1396	6.30919	0.000774595
0.00322875	67.673	2.28016	0.00077642
0.00339019	0	0	0.000778426
0.0035597	55.5316	2.04042	0.000780632
0.00373768	42.6959	2.16799	0.000783057
0.00392457	36.7141	2.8503	0.000785722
0.00412079	35.2436	1.41957	0.00078865
0.00432683	29.7669	1.49485	0.000791865
0.00454318	28.4231	1.57137	0.000795395
0.00477033	26.7838	1.16324	0.000799268
0.00500885	21.8249	0.97791	0.000803517
0.00525929	18.7354	0.882547	0.000808175
0.00552226	17.6069	0.843798	0.00081328
0.00579837	13.0456	0.682496	0.000818871
0.00608829	13.3198	0.644665	0.000824992
0.0063927	11.2856	0.578009	0.000831688
0.00671234	9.73084	0.506589	0.000839008
0.00704796	8.94282	0.489395	0.000847005
0.00740035	8.1361	0.373247	0.000855735
0.00777037	7.50886	0.35751	0.000865257
0.00815889	7.13913	0.350089	0.000875636
0.00856683	5.80445	0.284216	0.000886938
0.00899518	5.50257	0.270655	0.000899234
0.00944494	4.94588	0.237666	0.000912598
0.00991718	4.68959	0.237639	0.000927109
0.010413	4.38308	0.192574	0.000942848
0.0109337	4.10743	0.180689	0.000959902
0.0114804	3.57371	0.165417	0.000978359
0.0120544	3.05201	0.143934	0.000998312
0.0126571	2.94012	0.140274	0.00101986
0.01329	2.66557	0.125693	0.0010431
0.0139545	2.68815	0.115583	0.00106813
0.0146522	2.30264	0.104817	0.00109507
0.0153848	2.23203	0.0972149	0.00112402
0.016154	1.80089	0.0863425	0.0011551
0.0169617	1.85024	0.0797326	0.00118842
0.0178098	1.69442	0.0746943	0.00122411
0.0187003	1.63245	0.070662	0.00126229
0.0196353	1.48496	0.0611549	0.00130308
0.0206171	1.36536	0.0586577	0.00134662
0.021648	1.29909	0.0541835	0.00139305
0.0227304	1.2871	0.0515174	0.00144251
0.0238669	1.12735	0.0466387	0.00149514
0.0250602	1.06379	0.0430161	0.0015511
0.0263132	1.06192	0.0416912	0.00161054
0.0276289	0.899396	0.0365593	0.00167363
0.0290103	0.905008	0.0350306	0.00174054
0.0304609	0.822347	0.0320383	0.00181145
0.0319839	0.718947	0.0299151	0.00188653
0.0335831	0.681562	0.0355996	0.00196599
0.0352623	0.627311	0.0368637	0.00205003
0.0370254	0.573072	0.094297	0.00213886
0.0388766	0	0	0.00223271
0.0408205	0	0	0.0023318
0.0428615	0	0	0.00243638
0.0444534	0	0	0.00251828
