# X 	 Y 	 E 	 DX

0.035875	0.721157	0.0245357	0.00208084
0.0376688	0.647477	0.0235261	0.00217142
0.0395522	0.632983	0.0328478	0.00226708
0.0415298	0.565961	0.0186572	0.00236808
0.0436063	0.505492	0.023922	0.00247466
0.0457866	0.512745	0.0147633	0.00258708
0.0480759	0.51518	0.0187714	0.00270561
0.0504797	0.43456	0.0126561	0.00283055
0.0530037	0.400546	0.0127404	0.00296219
0.0556539	0.392544	0.0117855	0.00310085
0.0584366	0.36205	0.00931132	0.00324687
0.0613584	0.317911	0.00906114	0.0034006
0.0644263	0.298863	0.00882027	0.00356241
0.0676477	0.289152	0.00716857	0.00373268
0.07103	0.267665	0.00713723	0.00391182
0.0745815	0.237597	0.00723646	0.00410026
0.0783106	0.226263	0.00537898	0.00429845
0.0822262	0.208606	0.00525396	0.00450687
0.0863375	0.203667	0.00525529	0.00472601
0.0906543	0.194088	0.00476072	0.0049564
0.0951871	0.179332	0.00441521	0.00519858
0.0999464	0.169296	0.00404557	0.00545313
0.104944	0.159863	0.0039249	0.00572066
0.110191	0.159711	0.00345726	0.00600181
0.1157	0.14835	0.00335093	0.00629724
0.121485	0.149348	0.00312854	0.00660767
0.12756	0.139751	0.00293001	0.00693382
0.133938	0.136287	0.00278324	0.00727648
0.140635	0.141452	0.00259239	0.00763647
0.147666	0.131062	0.00245585	0.00801463
0.15505	0.133297	0.00228117	0.00841187
0.162802	0.126541	0.00221962	0.00882915
0.170942	0.130886	0.00205766	0.00926744
0.179489	0.123455	0.00192522	0.00972779
0.188464	0.127097	0.00186384	0.0102113
0.197887	0.125031	0.00174472	0.0107191
0.207781	0.123708	0.00169488	0.0112525
0.21817	0.123651	0.0015752	0.0118126
0.229079	0.121776	0.00147493	0.0124009
0.240533	0.12153	0.00144242	0.0130187
0.25256	0.12207	0.00135319	0.0136675
0.265188	0.120998	0.00125955	0.0143488
0.278447	0.121222	0.00121373	0.0150643
0.292369	0.120566	0.00114782	0.0158157
0.306988	0.120451	0.00108522	0.0166047
0.322337	0.122191	0.00104303	0.0174332
0.338454	0.118374	0.000970908	0.0183033
0.355377	0.121118	0.000932323	0.0192169
0.373146	0.120633	0.000893858	0.0201763
0.391803	0.119289	0.000843633	0.0211838
0.411393	0.119774	0.000799156	0.0222416
0.431963	0.117489	0.000752344	0.0233524
0.453561	0.117582	0.000762701	0.0245189
0.476239	0.117726	0.000767068	0.0257437
0.500051	0.118918	0.000761643	0.0270298
0.525053	0.117282	0.000756888	0.0283802
0.551306	0.117293	0.000733958	0.0297983
0.578871	0.11614	0.000724265	0.0312872
0.607815	0.113898	0.000702824	0.0328507
0.638206	0.115298	0.000698044	0.0344924
0.670116	0.112599	0.000670845	0.0362162
0.703622	0.112251	0.000660332	0.0380262
0.738803	0.110438	0.00064075	0.0399268
0.775743	0.106306	0.000616002	0.0419224
0.81453	0.0975276	0.000740735	0.0440179
0.842198	0.0852225	0.00126386	0.0455127
