# X 	 Y 	 E 	 DX

0.035875	0.196613	0.0147633	0.00208084
0.0376688	0.218582	0.0153813	0.00217142
0.0395522	0.20233	0.0211208	0.00226708
0.0415298	0.174506	0.0120706	0.00236808
0.0436063	0.164186	0.016032	0.00247466
0.0457866	0.184303	0.0101387	0.00258708
0.0480759	0.144912	0.0118597	0.00270561
0.0504797	0.164177	0.00898276	0.00283055
0.0530037	0.159597	0.00925667	0.00296219
0.0556539	0.162063	0.0086865	0.00310085
0.0584366	0.135451	0.00673074	0.00324687
0.0613584	0.145138	0.00698267	0.0034006
0.0644263	0.133731	0.00681696	0.00356241
0.0676477	0.13013	0.00554619	0.00373268
0.07103	0.139897	0.00577193	0.00391182
0.0745815	0.124645	0.00592798	0.00410026
0.0783106	0.116251	0.00439373	0.00429845
0.0822262	0.129281	0.00455999	0.00450687
0.0863375	0.120091	0.00450233	0.00472601
0.0906543	0.114548	0.00407731	0.0049564
0.0951871	0.123156	0.00396927	0.00519858
0.0999464	0.121368	0.00367853	0.00545313
0.104944	0.122649	0.00362999	0.00572066
0.110191	0.122148	0.00318771	0.00600181
0.1157	0.118271	0.00314189	0.00629724
0.121485	0.125891	0.00298141	0.00660767
0.12756	0.114473	0.00276484	0.00693382
0.133938	0.117273	0.00266769	0.00727648
0.140635	0.114881	0.00244226	0.00763647
0.147666	0.11594	0.00236872	0.00801463
0.15505	0.115153	0.00218557	0.00841187
0.162802	0.116483	0.00216815	0.00882915
0.170942	0.120184	0.00200151	0.00926744
0.179489	0.119852	0.00190214	0.00972779
0.188464	0.116328	0.00181516	0.0102113
0.197887	0.115863	0.0017011	0.0107191
0.207781	0.118022	0.00166558	0.0112525
0.21817	0.114126	0.0015332	0.0118126
0.229079	0.116902	0.00145631	0.0124009
0.240533	0.115358	0.00141746	0.0130187
0.25256	0.117478	0.00133516	0.0136675
0.265188	0.116812	0.0012431	0.0143488
0.278447	0.116138	0.00119537	0.0150643
0.292369	0.113302	0.00112569	0.0158157
0.306988	0.114961	0.0010679	0.0166047
0.322337	0.11456	0.00102162	0.0174332
0.338454	0.114831	0.000960921	0.0183033
0.355377	0.115229	0.000917759	0.0192169
0.373146	0.114924	0.000880148	0.0201763
0.391803	0.116491	0.000835945	0.0211838
0.411393	0.115103	0.000787744	0.0222416
0.431963	0.113861	0.000743986	0.0233524
0.453561	0.112975	0.000751807	0.0245189
0.476239	0.1117	0.000753756	0.0257437
0.500051	0.113126	0.000749451	0.0270298
0.525053	0.112837	0.000746374	0.0283802
0.551306	0.11152	0.000720941	0.0297983
0.578871	0.111663	0.000713963	0.0312872
0.607815	0.110181	0.000694409	0.0328507
0.638206	0.108611	0.000684208	0.0344924
0.670116	0.108665	0.000662652	0.0362162
0.703622	0.106849	0.000649363	0.0380262
0.738803	0.104743	0.000629132	0.0399268
0.775743	0.0993006	0.000602616	0.0419224
0.81453	0.0918938	0.000726379	0.0440179
0.842198	0.0789071	0.00123735	0.0455127
