# X 	 Y 	 E 	 DX

0.003075	0.0108885	0.23347	0.000774595
0.00322875	-0.0315639	0.174823	0.00077642
0.00339019	-0.102994	0.163141	0.000778426
0.0035597	0.0630092	0.154967	0.000780632
0.00373768	0.332936	0.118089	0.000783057
0.00392457	0.127501	0.120896	0.000785722
0.00412079	0.182491	0.0824976	0.00078865
0.00432683	0.0606572	0.0839516	0.000791865
0.00454318	0.219523	0.0758033	0.000795395
0.00477033	0.173308	0.05907	0.000799268
0.00500885	0.173294	0.0552153	0.000803517
0.00525929	0.0791299	0.0453784	0.000808175
0.00552226	0.0415776	0.0391934	0.00081328
0.00579837	0.116749	0.0333246	0.000818871
0.00608829	0.102667	0.0298618	0.000824992
0.0063927	0.0872729	0.0239909	0.000831688
0.00671234	0.0711085	0.0214541	0.000839008
0.00704796	0.0832291	0.0181816	0.000847005
0.00740035	0.0885975	0.0156908	0.000855735
0.00777037	0.0846634	0.0138792	0.000865257
0.00815889	0.0777243	0.0118648	0.000875636
0.00856683	0.0606538	0.0102041	0.000886938
0.00899518	0.0822107	0.00941269	0.000899234
0.00944494	0.0773343	0.00811033	0.000912598
0.00991718	0.0838908	0.00727462	0.000927109
0.010413	0.0634782	0.00661548	0.000942848
0.0109337	0.0730729	0.00588755	0.000959902
0.0114804	0.0770665	0.00541704	0.000978359
0.0120544	0.0736451	0.00493057	0.000998312
0.0126571	0.0636961	0.00452424	0.00101986
0.01329	0.0690576	0.00410346	0.0010431
0.0139545	0.0668612	0.0039528	0.00106813
0.0146522	0.0662528	0.00382318	0.00109507
0.0153848	0.0618775	0.003613	0.00112402
0.016154	0.064184	0.00344045	0.0011551
0.0169617	0.0679254	0.00330586	0.00118842
0.0178098	0.0620242	0.00308607	0.00122411
0.0187003	0.065589	0.00296948	0.00126229
0.0196353	0.060253	0.00280012	0.00130308
0.0206171	0.0615593	0.00268008	0.00134662
0.021648	0.0645886	0.00259928	0.00139305
0.0227304	0.0636674	0.00247862	0.00144251
0.0238669	0.0630828	0.00235455	0.00149514
0.0250602	0.0679873	0.00225418	0.0015511
0.0263132	0.068084	0.00219302	0.00161054
0.0276289	0.0613753	0.002041	0.00167363
0.0290103	0.0660452	0.00198823	0.00174054
0.0304609	0.0662557	0.00191047	0.00181145
0.0319839	0.0663861	0.00183149	0.00188653
0.0335831	0.0632085	0.00183811	0.00196599
0.0352623	0.0678196	0.00198224	0.00205003
0.0370254	0.0674108	0.00236517	0.00213886
0.0388766	0.0677655	0.00271668	0.00223271
0.0408205	0.0671316	0.00310426	0.0023318
0.0428615	0.0670401	0.00349956	0.00243638
0.0444534	0.0675862	0.00439751	0.00251828
