# X 	 Y 	 E 	 DX

0.003075	0.257175	0.590226	0.000774595
0.00322875	-0.178715	0.736943	0.00077642
0.00339019	0.0761622	0.267635	0.000778426
0.0035597	0.0430027	0.697152	0.000780632
0.00373768	0.32108	0.25025	0.000783057
0.00392457	1.28421	0.700351	0.000785722
0.00412079	0.181628	0.162035	0.00078865
0.00432683	-0.0407442	0.293625	0.000791865
0.00454318	0.387672	0.171901	0.000795395
0.00477033	0.190042	0.132925	0.000799268
0.00500885	-0.00481162	0.166468	0.000803517
0.00525929	0.219039	0.10864	0.000808175
0.00552226	0.0329925	0.0894555	0.00081328
0.00579837	0.0679869	0.0836013	0.000818871
0.00608829	0.0491131	0.0866358	0.000824992
0.0063927	0.12761	0.051772	0.000831688
0.00671234	0.113966	0.0566166	0.000839008
0.00704796	0.0564193	0.0403992	0.000847005
0.00740035	0.0682647	0.0399456	0.000855735
0.00777037	0.106614	0.032038	0.000865257
0.00815889	0.0558561	0.0284157	0.000875636
0.00856683	0.0622292	0.0237782	0.000886938
0.00899518	0.138952	0.0261371	0.000899234
0.00944494	0.0700312	0.0173643	0.000912598
0.00991718	0.0819191	0.0171784	0.000927109
0.010413	0.0855909	0.0173763	0.000942848
0.0109337	0.0809974	0.013409	0.000959902
0.0114804	0.0733882	0.0126604	0.000978359
0.0120544	0.0576663	0.0116816	0.000998312
0.0126571	0.0820203	0.0118495	0.00101986
0.01329	0.0853849	0.00966554	0.0010431
0.0139545	0.0644245	0.0116148	0.00106813
0.0146522	0.0557773	0.0117373	0.00109507
0.0153848	0.0703054	0.0115173	0.00112402
0.016154	0.0804185	0.0110528	0.0011551
0.0169617	0.084086	0.0108107	0.00118842
0.0178098	0.0627537	0.00879372	0.00122411
0.0187003	0.0587034	0.00903924	0.00126229
0.0196353	0.0642064	0.00851293	0.00130308
0.0206171	0.0777332	0.00851641	0.00134662
0.021648	0.0605141	0.00740359	0.00139305
0.0227304	0.069261	0.00740247	0.00144251
0.0238669	0.0569114	0.00678751	0.00149514
0.0250602	0.066141	0.00638795	0.0015511
0.0263132	0.0742473	0.00656593	0.00161054
0.0276289	0.0750734	0.00598084	0.00167363
0.0290103	0.0612549	0.00562262	0.00174054
0.0304609	0.0698487	0.00554253	0.00181145
0.0319839	0.0651643	0.00510738	0.00188653
0.0335831	0.0601536	0.00488422	0.00196599
0.0352623	0.0637834	0.00696051	0.00205003
0.0370254	0	0	0.00213886
0.0388766	0	0	0.00223271
0.0408205	0	0	0.0023318
0.0428615	0	0	0.00243638
0.0444534	0	0	0.00251828
