# X 	 Y 	 E 	 DX

0.035875	0.0774615	0.00312078	0.00208084
0.0376688	0.0710388	0.00307189	0.00217142
0.0395522	0.0735697	0.00436064	0.00226708
0.0415298	0.077966	0.00267184	0.00236808
0.0436063	0.0697489	0.00346237	0.00247466
0.0457866	0.0777815	0.00218677	0.00258708
0.0480759	0.0735598	0.00273529	0.00270561
0.0504797	0.0747362	0.0019921	0.00283055
0.0530037	0.0759532	0.00206964	0.00296219
0.0556539	0.0733134	0.00191316	0.00310085
0.0584366	0.0724851	0.00156269	0.00324687
0.0613584	0.0751677	0.00160613	0.0034006
0.0644263	0.0728947	0.00158932	0.00356241
0.0676477	0.0747159	0.00130833	0.00373268
0.07103	0.0766635	0.00134468	0.00391182
0.0745815	0.07713	0.00142715	0.00410026
0.0783106	0.0743575	0.00107026	0.00429845
0.0822262	0.0748764	0.00107551	0.00450687
0.0863375	0.0739342	0.00108024	0.00472601
0.0906543	0.0736086	0.000988571	0.0049564
0.0951871	0.0737472	0.000944669	0.00519858
0.0999464	0.074831	0.000883295	0.00545313
0.104944	0.0740817	0.000865856	0.00572066
0.110191	0.0753762	0.000765856	0.00600181
0.1157	0.0739124	0.000756863	0.00629724
0.121485	0.0755777	0.000709307	0.00660767
0.12756	0.0745745	0.000675059	0.00693382
0.133938	0.0739771	0.000644247	0.00727648
0.140635	0.0750055	0.000593483	0.00763647
0.147666	0.0749865	0.000575293	0.00801463
0.15505	0.0748137	0.000530911	0.00841187
0.162802	0.0762562	0.000527546	0.00882915
0.170942	0.0746706	0.000480811	0.00926744
0.179489	0.0752753	0.000458645	0.00972779
0.188464	0.0745858	0.000438915	0.0102113
0.197887	0.0747327	0.000412888	0.0107191
0.207781	0.0752939	0.000402936	0.0112525
0.21817	0.0752383	0.000374458	0.0118126
0.229079	0.0747142	0.000351667	0.0124009
0.240533	0.0744811	0.000343733	0.0130187
0.25256	0.0742248	0.000321596	0.0136675
0.265188	0.0742632	0.000300167	0.0143488
0.278447	0.0740917	0.000288909	0.0150643
0.292369	0.0739443	0.000273809	0.0158157
0.306988	0.0729834	0.000257763	0.0166047
0.322337	0.0728803	0.000246646	0.0174332
0.338454	0.0733762	0.000232053	0.0183033
0.355377	0.0727309	0.000220977	0.0192169
0.373146	0.0724548	0.000211698	0.0201763
0.391803	0.0723418	0.000200248	0.0211838
0.411393	0.0721418	0.000189449	0.0222416
0.431963	0.0715072	0.000178931	0.0233524
0.453561	0.070222	0.000180354	0.0245189
0.476239	0.0700017	0.000181047	0.0257437
0.500051	0.0696459	0.000179041	0.0270298
0.525053	0.0689047	0.000178079	0.0283802
0.551306	0.0682756	0.000172315	0.0297983
0.578871	0.0673853	0.000169825	0.0312872
0.607815	0.0663351	0.000165126	0.0328507
0.638206	0.065308	0.000162854	0.0344924
0.670116	0.0639536	0.000156809	0.0362162
0.703622	0.0624119	0.000153455	0.0380262
0.738803	0.059747	0.000147744	0.0399268
0.775743	0.0560126	0.000141155	0.0419224
0.81453	0.0505228	0.000169135	0.0440179
0.842198	0.0432795	0.000287429	0.0455127
