# X 	 Y 	 E 	 DX

0.035875	0.0774615	0.00312078	0.00208084
0.0376688	0	0	0.00217142
0.0395522	0	0	0.00226708
0.0415298	0.0807657	0.0032493	0.00236808
0.0436063	0	0	0.00247466
0.0457866	0.0769656	0.00307738	0.00258708
0.0480759	0.0725679	0.0043502	0.00270561
0.0504797	0.0754608	0.0037382	0.00283055
0.0530037	0.0703084	0.00524186	0.00296219
0.0556539	0.0769665	0.00301535	0.00310085
0.0584366	0.0653114	0.00293357	0.00324687
0.0613584	0.0780371	0.00292516	0.0034006
0.0644263	0.0746405	0.00493496	0.00356241
0.0676477	0.0752037	0.00221251	0.00373268
0.07103	0.0793353	0.00308003	0.00391182
0.0745815	0.0819626	0.0037384	0.00410026
0.0783106	0.0708963	0.00187411	0.00429845
0.0822262	0.0803523	0.00248621	0.00450687
0.0863375	0.0703765	0.00217767	0.00472601
0.0906543	0.0731231	0.00222351	0.0049564
0.0951871	0.0733425	0.00197964	0.00519858
0.0999464	0.0739757	0.00191628	0.00545313
0.104944	0.072375	0.00191633	0.00572066
0.110191	0.0748961	0.00167642	0.00600181
0.1157	0.0765035	0.00162289	0.00629724
0.121485	0.0758343	0.00154906	0.00660767
0.12756	0.0746992	0.00151224	0.00693382
0.133938	0.0750017	0.00153819	0.00727648
0.140635	0.0736156	0.00120927	0.00763647
0.147666	0.0752395	0.00128797	0.00801463
0.15505	0.0768474	0.00126075	0.00841187
0.162802	0.0793155	0.00123898	0.00882915
0.170942	0.0755923	0.00108163	0.00926744
0.179489	0.0756065	0.00106887	0.00972779
0.188464	0.0747001	0.0010324	0.0102113
0.197887	0.074897	0.000971093	0.0107191
0.207781	0.0748106	0.000940562	0.0112525
0.21817	0.07411	0.000891132	0.0118126
0.229079	0.0753817	0.000811226	0.0124009
0.240533	0.0755007	0.000834702	0.0130187
0.25256	0.0737846	0.000793847	0.0136675
0.265188	0.0732557	0.000684158	0.0143488
0.278447	0.0749886	0.000694841	0.0150643
0.292369	0.0739615	0.000647283	0.0158157
0.306988	0.0717734	0.000593716	0.0166047
0.322337	0.0721426	0.00058335	0.0174332
0.338454	0.0723569	0.0005465	0.0183033
0.355377	0.0724207	0.000533842	0.0192169
0.373146	0.0734838	0.000506272	0.0201763
0.391803	0.072878	0.000490902	0.0211838
0.411393	0.0720881	0.000451326	0.0222416
0.431963	0.0712952	0.000422307	0.0233524
0.453561	0.0704096	0.000407329	0.0245189
0.476239	0.0700524	0.000383947	0.0257437
0.500051	0.0701354	0.000369253	0.0270298
0.525053	0.0696217	0.00035506	0.0283802
0.551306	0.0688757	0.000326095	0.0297983
0.578871	0.067959	0.000320104	0.0312872
0.607815	0.0669604	0.000296455	0.0328507
0.638206	0.0656543	0.000286064	0.0344924
0.670116	0.0641827	0.000263418	0.0362162
0.703622	0.0627126	0.000253971	0.0380262
0.738803	0.0606433	0.000236884	0.0399268
0.775743	0.0563631	0.000224537	0.0419224
0.81453	0.0532367	0.000446396	0.0440179
0.842198	0	0	0.0455127
