# X 	 Y 	 E 	 DX

0.035875	4.42667	0.0492893	0.00208084
0.0376688	4.21189	0.047952	0.00217142
0.0395522	3.84914	0.0639256	0.00226708
0.0415298	3.41245	0.0344917	0.00236808
0.0436063	3.12916	0.0440371	0.00247466
0.0457866	2.9537	0.0263591	0.00258708
0.0480759	2.84414	0.032677	0.00270561
0.0504797	2.50699	0.0219118	0.00283055
0.0530037	2.27133	0.0214176	0.00296219
0.0556539	2.17824	0.0196017	0.00310085
0.0584366	1.96519	0.0150549	0.00324687
0.0613584	1.75387	0.0144894	0.0034006
0.0644263	1.61772	0.013848	0.00356241
0.0676477	1.46557	0.0107865	0.00373268
0.07103	1.29317	0.0102974	0.00391182
0.0745815	1.19606	0.0104298	0.00410026
0.0783106	1.07863	0.0074888	0.00429845
0.0822262	0.931568	0.0069616	0.00450687
0.0863375	0.834281	0.00664256	0.00472601
0.0906543	0.747816	0.00575878	0.0049564
0.0951871	0.664349	0.00521024	0.00519858
0.0999464	0.590873	0.0045963	0.00545313
0.104944	0.522546	0.00425329	0.00572066
0.110191	0.465677	0.00355337	0.00600181
0.1157	0.413487	0.00334022	0.00629724
0.121485	0.372739	0.00297596	0.00660767
0.12756	0.330494	0.00269679	0.00693382
0.133938	0.296582	0.00246082	0.00727648
0.140635	0.263341	0.0021488	0.00763647
0.147666	0.241214	0.00201006	0.00801463
0.15505	0.221688	0.00179758	0.00841187
0.162802	0.204682	0.001722	0.00882915
0.170942	0.189052	0.00152868	0.00926744
0.179489	0.178882	0.00142612	0.00972779
0.188464	0.169418	0.00134157	0.0102113
0.197887	0.15977	0.00123311	0.0107191
0.207781	0.154495	0.00118739	0.0112525
0.21817	0.147471	0.00108575	0.0118126
0.229079	0.143777	0.00101127	0.0124009
0.240533	0.139644	0.000980071	0.0130187
0.25256	0.136805	0.000911445	0.0136675
0.265188	0.134931	0.000846357	0.0143488
0.278447	0.131656	0.000808707	0.0150643
0.292369	0.132053	0.00076781	0.0158157
0.306988	0.130685	0.000722242	0.0166047
0.322337	0.128147	0.000687018	0.0174332
0.338454	0.127256	0.000643257	0.0183033
0.355377	0.126026	0.000612213	0.0192169
0.373146	0.126987	0.000589363	0.0201763
0.391803	0.124759	0.000554303	0.0211838
0.411393	0.12585	0.00052675	0.0222416
0.431963	0.123498	0.000495805	0.0233524
0.453561	0.122869	0.000502587	0.0245189
0.476239	0.122077	0.000504454	0.0257437
0.500051	0.120237	0.000497485	0.0270298
0.525053	0.119994	0.000496199	0.0283802
0.551306	0.119242	0.000480735	0.0297983
0.578871	0.116782	0.000472382	0.0312872
0.607815	0.115906	0.000460171	0.0328507
0.638206	0.113989	0.000453102	0.0344924
0.670116	0.112657	0.000437657	0.0362162
0.703622	0.110623	0.000428606	0.0380262
0.738803	0.106797	0.000413099	0.0399268
0.775743	0.101238	0.000395273	0.0419224
0.81453	0.0924875	0.000473585	0.0440179
0.842198	0.0812057	0.000806405	0.0455127
