# X 	 Y 	 E 	 DX

0.003075	310.178	2.64403	0.000774595
0.00322875	180.627	1.3585	0.00077642
0.00339019	176.789	1.27364	0.000778426
0.0035597	140.918	1.02249	0.000780632
0.00373768	107.926	0.675277	0.000783057
0.00392457	86.9799	0.638478	0.000785722
0.00412079	67.7301	0.386598	0.00078865
0.00432683	55.8295	0.371492	0.000791865
0.00454318	48.311	0.310826	0.000795395
0.00477033	37.6382	0.230509	0.000799268
0.00500885	33.6392	0.208169	0.000803517
0.00525929	26.099	0.162341	0.000808175
0.00552226	22.2487	0.137853	0.00081328
0.00579837	18.4235	0.115032	0.000818871
0.00608829	16.2191	0.101671	0.000824992
0.0063927	13.3556	0.0813166	0.000831688
0.00671234	11.0915	0.0725686	0.000839008
0.00704796	9.79607	0.0614462	0.000847005
0.00740035	8.21727	0.0527738	0.000855735
0.00777037	7.11236	0.0467011	0.000865257
0.00815889	6.1709	0.0403232	0.000875636
0.00856683	5.30857	0.034913	0.000886938
0.00899518	4.67984	0.031665	0.000899234
0.00944494	4.13924	0.0274126	0.000912598
0.00991718	3.62194	0.0245177	0.000927109
0.010413	3.2051	0.0222512	0.000942848
0.0109337	2.92335	0.0196142	0.000959902
0.0114804	2.62238	0.017666	0.000978359
0.0120544	2.36148	0.0159804	0.000998312
0.0126571	2.16252	0.0147752	0.00101986
0.01329	1.99072	0.0131809	0.0010431
0.0139545	1.79763	0.0123896	0.00106813
0.0146522	1.65598	0.0118045	0.00109507
0.0153848	1.52791	0.0109379	0.00112402
0.016154	1.42775	0.0102043	0.0011551
0.0169617	1.34739	0.0096615	0.00118842
0.0178098	1.27079	0.0089369	0.00122411
0.0187003	1.19037	0.00834555	0.00126229
0.0196353	1.10643	0.00777277	0.00130308
0.0206171	1.07361	0.00736372	0.00134662
0.021648	1.01266	0.00689021	0.00139305
0.0227304	0.964813	0.00648608	0.00144251
0.0238669	0.917499	0.0060634	0.00149514
0.0250602	0.902959	0.00572557	0.0015511
0.0263132	0.86514	0.00546604	0.00161054
0.0276289	0.819396	0.00506333	0.00167363
0.0290103	0.796958	0.0048064	0.00174054
0.0304609	0.77614	0.0045483	0.00181145
0.0319839	0.741664	0.00428787	0.00188653
0.0335831	0.718192	0.00428441	0.00196599
0.0352623	0.703695	0.00451173	0.00205003
0.0370254	0.676426	0.00528129	0.00213886
0.0388766	0.668544	0.00603465	0.00223271
0.0408205	0.634452	0.00671154	0.0023318
0.0428615	0.605144	0.00749784	0.00243638
0.0444534	0.565444	0.00913393	0.00251828
