# X 	 Y 	 E 	 DX

0.003075	207.446	6.04765	0.000774595
0.00322875	138.808	1.7686	0.00077642
0.00339019	0	0	0.000778426
0.0035597	106.832	1.40836	0.000780632
0.00373768	82.575	1.37618	0.000783057
0.00392457	79.8093	1.90074	0.000785722
0.00412079	60.9708	0.794951	0.00078865
0.00432683	46.4739	0.744777	0.000791865
0.00454318	45.5785	0.785418	0.000795395
0.00477033	37.149	0.52634	0.000799268
0.00500885	29.7096	0.415386	0.000803517
0.00525929	24.3305	0.359121	0.000808175
0.00552226	20.101	0.315208	0.00081328
0.00579837	16.7621	0.262068	0.000818871
0.00608829	14.0156	0.222933	0.000824992
0.0063927	11.7243	0.193768	0.000831688
0.00671234	10.2536	0.170407	0.000839008
0.00704796	8.58937	0.152889	0.000847005
0.00740035	7.74564	0.117118	0.000855735
0.00777037	6.69152	0.107309	0.000865257
0.00815889	5.70001	0.0981277	0.000875636
0.00856683	5.05928	0.0829706	0.000886938
0.00899518	4.44425	0.075294	0.000899234
0.00944494	3.91884	0.065423	0.000912598
0.00991718	3.4016	0.0625219	0.000927109
0.010413	3.11308	0.05017	0.000942848
0.0109337	2.82646	0.0462682	0.000959902
0.0114804	2.50841	0.0422525	0.000978359
0.0120544	2.26475	0.0380544	0.000998312
0.0126571	2.04832	0.0357346	0.00101986
0.01329	1.902	0.0323151	0.0010431
0.0139545	1.77278	0.0284865	0.00106813
0.0146522	1.61467	0.0266969	0.00109507
0.0153848	1.45901	0.0239119	0.00112402
0.016154	1.4195	0.0229647	0.0011551
0.0169617	1.3377	0.0206892	0.00118842
0.0178098	1.24592	0.0191696	0.00122411
0.0187003	1.18598	0.0180114	0.00126229
0.0196353	1.09902	0.0158739	0.00130308
0.0206171	1.05626	0.0155329	0.00134662
0.021648	0.997171	0.0140679	0.00139305
0.0227304	0.953904	0.013264	0.00144251
0.0238669	0.902867	0.0122624	0.00149514
0.0250602	0.916917	0.0116874	0.0015511
0.0263132	0.857724	0.0110142	0.00161054
0.0276289	0.817834	0.0100287	0.00167363
0.0290103	0.783723	0.00946036	0.00174054
0.0304609	0.76001	0.00880678	0.00181145
0.0319839	0.724559	0.00836056	0.00188653
0.0335831	0.703987	0.0100081	0.00196599
0.0352623	0.669791	0.0104659	0.00205003
0.0370254	0.667223	0.0272116	0.00213886
0.0388766	0	0	0.00223271
0.0408205	0	0	0.0023318
0.0428615	0	0	0.00243638
0.0444534	0	0	0.00251828
