# X 	 Y 	 E 	 DX

0.035875	0.764707	0.00848826	0.00208084
0.0376688	0	0	0.00217142
0.0395522	0	0	0.00226708
0.0415298	0.660087	0.00781116	0.00236808
0.0436063	0	0	0.00247466
0.0457866	0.632508	0.00754545	0.00258708
0.0480759	0.610206	0.0105146	0.00270561
0.0504797	0.543806	0.0083209	0.00283055
0.0530037	0.535974	0.0117127	0.00296219
0.0556539	0.515548	0.00661291	0.00310085
0.0584366	0.5048	0.00656384	0.00324687
0.0613584	0.452328	0.00587209	0.0034006
0.0644263	0.450288	0.0100941	0.00356241
0.0676477	0.429986	0.00444395	0.00373268
0.07103	0.389138	0.00572879	0.00391182
0.0745815	0.375419	0.00679927	0.00410026
0.0783106	0.367864	0.00353156	0.00429845
0.0822262	0.315398	0.00417051	0.00450687
0.0863375	0.328965	0.00389323	0.00472601
0.0906543	0.291139	0.00368809	0.0049564
0.0951871	0.277136	0.00322803	0.00519858
0.0999464	0.269022	0.0030702	0.00545313
0.104944	0.247408	0.00297312	0.00572066
0.110191	0.238682	0.00253481	0.00600181
0.1157	0.223359	0.00238412	0.00629724
0.121485	0.207433	0.00220953	0.00660767
0.12756	0.198227	0.00213569	0.00693382
0.133938	0.176874	0.00206888	0.00727648
0.140635	0.169649	0.00161456	0.00763647
0.147666	0.15647	0.00166066	0.00801463
0.15505	0.151277	0.00159517	0.00841187
0.162802	0.141944	0.00151527	0.00882915
0.170942	0.135855	0.00132148	0.00926744
0.179489	0.133334	0.00129893	0.00972779
0.188464	0.126927	0.00123835	0.0102113
0.197887	0.125253	0.00115839	0.0107191
0.207781	0.122328	0.00111325	0.0112525
0.21817	0.119074	0.00104933	0.0118126
0.229079	0.11885	0.000951485	0.0124009
0.240533	0.116112	0.00097077	0.0130187
0.25256	0.115337	0.000928017	0.0136675
0.265188	0.111823	0.000792221	0.0143488
0.278447	0.112206	0.000799561	0.0150643
0.292369	0.112015	0.000749003	0.0158157
0.306988	0.110124	0.000688726	0.0166047
0.322337	0.110803	0.000676928	0.0174332
0.338454	0.109191	0.000631129	0.0183033
0.355377	0.109501	0.000617238	0.0192169
0.373146	0.108944	0.000582034	0.0201763
0.391803	0.108672	0.00056486	0.0211838
0.411393	0.108892	0.000521593	0.0222416
0.431963	0.107503	0.000488317	0.0233524
0.453561	0.106508	0.00047167	0.0245189
0.476239	0.106091	0.000445075	0.0257437
0.500051	0.104974	0.00042619	0.0270298
0.525053	0.103874	0.00040937	0.0283802
0.551306	0.1031	0.000376605	0.0297983
0.578871	0.102107	0.000369845	0.0312872
0.607815	0.100652	0.000342613	0.0328507
0.638206	0.0987136	0.000330225	0.0344924
0.670116	0.0969568	0.000304845	0.0362162
0.703622	0.0950955	0.000294008	0.0380262
0.738803	0.0916962	0.000273967	0.0399268
0.775743	0.0867748	0.000260453	0.0419224
0.81453	0.0828181	0.000518999	0.0440179
0.842198	0	0	0.0455127
