# X 	 Y 	 E 	 DX

0.003075	2.69679	0.484523	0.000774595
0.00322875	1.88067	0.36092	0.00077642
0.00339019	1.81118	0.337495	0.000778426
0.0035597	1.74745	0.319215	0.000780632
0.00373768	1.60144	0.24093	0.000783057
0.00392457	1.23985	0.247622	0.000785722
0.00412079	1.05013	0.168328	0.00078865
0.00432683	1.10205	0.173547	0.000791865
0.00454318	0.681201	0.152214	0.000795395
0.00477033	0.616	0.119582	0.000799268
0.00500885	0.485495	0.111341	0.000803517
0.00525929	0.375206	0.0922635	0.000808175
0.00552226	0.305171	0.079725	0.00081328
0.00579837	0.278123	0.0669143	0.000818871
0.00608829	0.33455	0.0606333	0.000824992
0.0063927	0.387323	0.0493796	0.000831688
0.00671234	0.210183	0.0433057	0.000839008
0.00704796	0.332183	0.0375479	0.000847005
0.00740035	0.240914	0.0318071	0.000855735
0.00777037	0.19261	0.0278438	0.000865257
0.00815889	0.2328	0.0243615	0.000875636
0.00856683	0.174284	0.0208855	0.000886938
0.00899518	0.150465	0.0186299	0.000899234
0.00944494	0.162981	0.016257	0.000912598
0.00991718	0.140538	0.0142427	0.000927109
0.010413	0.140465	0.0133375	0.000942848
0.0109337	0.146055	0.011745	0.000959902
0.0114804	0.133714	0.0106117	0.000978359
0.0120544	0.124976	0.00963207	0.000998312
0.0126571	0.101166	0.00875319	0.00101986
0.01329	0.126914	0.00809297	0.0010431
0.0139545	0.126592	0.00781644	0.00106813
0.0146522	0.113568	0.00744156	0.00109507
0.0153848	0.113624	0.00711745	0.00112402
0.016154	0.112532	0.00668998	0.0011551
0.0169617	0.109689	0.00637323	0.00118842
0.0178098	0.105391	0.00599955	0.00122411
0.0187003	0.108713	0.00575805	0.00126229
0.0196353	0.112785	0.00553314	0.00130308
0.0206171	0.1154	0.0052984	0.00134662
0.021648	0.112347	0.00504817	0.00139305
0.0227304	0.114122	0.00485463	0.00144251
0.0238669	0.109507	0.00459809	0.00149514
0.0250602	0.114032	0.00435231	0.0015511
0.0263132	0.112977	0.0042455	0.00161054
0.0276289	0.112337	0.00402234	0.00167363
0.0290103	0.109799	0.00383292	0.00174054
0.0304609	0.106062	0.00366847	0.00181145
0.0319839	0.111393	0.00354254	0.00188653
0.0335831	0.109653	0.00357587	0.00196599
0.0352623	0.111934	0.00381599	0.00205003
0.0370254	0.111873	0.00455734	0.00213886
0.0388766	0.110722	0.00522617	0.00223271
0.0408205	0.105278	0.00594414	0.0023318
0.0428615	0.105492	0.006709	0.00243638
0.0444534	0.107994	0.00840198	0.00251828
