# X 	 Y 	 E 	 DX

0.003075	4.75984	1.24022	0.000774595
0.00322875	1.57256	1.52929	0.00077642
0.00339019	2.08217	0.551663	0.000778426
0.0035597	1.53936	1.42094	0.000780632
0.00373768	1.19238	0.505985	0.000783057
0.00392457	1.69835	1.376	0.000785722
0.00412079	1.20194	0.331168	0.00078865
0.00432683	0.897099	0.616717	0.000791865
0.00454318	0.218315	0.336205	0.000795395
0.00477033	0.607005	0.268435	0.000799268
0.00500885	0.119461	0.334578	0.000803517
0.00525929	0.516	0.21806	0.000808175
0.00552226	0.339477	0.182384	0.00081328
0.00579837	0.363081	0.170251	0.000818871
0.00608829	0.42319	0.178881	0.000824992
0.0063927	0.512346	0.106798	0.000831688
0.00671234	0.332091	0.115188	0.000839008
0.00704796	0.348176	0.0853084	0.000847005
0.00740035	0.274725	0.0831796	0.000855735
0.00777037	0.223337	0.0636022	0.000865257
0.00815889	0.312918	0.0610028	0.000875636
0.00856683	0.0911299	0.0466621	0.000886938
0.00899518	0.126813	0.0482181	0.000899234
0.00944494	0.207162	0.0362122	0.000912598
0.00991718	0.183373	0.0347558	0.000927109
0.010413	0.154012	0.0340147	0.000942848
0.0109337	0.12836	0.0259964	0.000959902
0.0114804	0.144732	0.0252895	0.000978359
0.0120544	0.102478	0.0230854	0.000998312
0.0126571	0.119115	0.022272	0.00101986
0.01329	0.145245	0.018793	0.0010431
0.0139545	0.165325	0.0242055	0.00106813
0.0146522	0.135444	0.0240417	0.00109507
0.0153848	0.134721	0.0225103	0.00112402
0.016154	0.132175	0.0212812	0.0011551
0.0169617	0.10311	0.0197237	0.00118842
0.0178098	0.136311	0.0178328	0.00122411
0.0187003	0.107731	0.0181722	0.00126229
0.0196353	0.119131	0.0169533	0.00130308
0.0206171	0.101476	0.0158107	0.00134662
0.021648	0.124773	0.014823	0.00139305
0.0227304	0.130974	0.0147358	0.00144251
0.0238669	0.123734	0.0136837	0.00149514
0.0250602	0.106918	0.0123059	0.0015511
0.0263132	0.099982	0.0121349	0.00161054
0.0276289	0.120673	0.0113757	0.00167363
0.0290103	0.106628	0.0109609	0.00174054
0.0304609	0.103055	0.0104601	0.00181145
0.0319839	0.107438	0.00983215	0.00188653
0.0335831	0.113419	0.00964318	0.00196599
0.0352623	0.0943429	0.0131507	0.00205003
0.0370254	0	0	0.00213886
0.0388766	0	0	0.00223271
0.0408205	0	0	0.0023318
0.0428615	0	0	0.00243638
0.0444534	0	0	0.00251828
