# X 	 Y 	 E 	 DX

0.035875	0.129358	0.00595469	0.00208084
0.0376688	0.122845	0.00592284	0.00217142
0.0395522	0.132509	0.00848117	0.00226708
0.0415298	0.120267	0.00500234	0.00236808
0.0436063	0.128837	0.00680804	0.00247466
0.0457866	0.128457	0.00415447	0.00258708
0.0480759	0.128321	0.00529033	0.00270561
0.0504797	0.124945	0.00381507	0.00283055
0.0530037	0.128028	0.00396628	0.00296219
0.0556539	0.127971	0.00369687	0.00310085
0.0584366	0.129145	0.00302648	0.00324687
0.0613584	0.127586	0.00307722	0.0034006
0.0644263	0.127773	0.00307644	0.00356241
0.0676477	0.12425	0.00249452	0.00373268
0.07103	0.124459	0.00254864	0.00391182
0.0745815	0.12655	0.00271095	0.00410026
0.0783106	0.124881	0.00204527	0.00429845
0.0822262	0.124915	0.00205112	0.00450687
0.0863375	0.129148	0.00208594	0.00472601
0.0906543	0.126774	0.001902	0.0049564
0.0951871	0.125377	0.00181044	0.00519858
0.0999464	0.126294	0.00168878	0.00545313
0.104944	0.131182	0.00167804	0.00572066
0.110191	0.129079	0.00146959	0.00600181
0.1157	0.12729	0.00145507	0.00629724
0.121485	0.128037	0.00135618	0.00660767
0.12756	0.127007	0.00129309	0.00693382
0.133938	0.125858	0.00123458	0.00727648
0.140635	0.126906	0.00113507	0.00763647
0.147666	0.127327	0.00110046	0.00801463
0.15505	0.128534	0.00101958	0.00841187
0.162802	0.129801	0.00100903	0.00882915
0.170942	0.129102	0.000923928	0.00926744
0.179489	0.130723	0.0008815	0.00972779
0.188464	0.128741	0.000844039	0.0102113
0.197887	0.130504	0.00079569	0.0107191
0.207781	0.129435	0.000773335	0.0112525
0.21817	0.128384	0.000716896	0.0118126
0.229079	0.129027	0.000675494	0.0124009
0.240533	0.129071	0.000661128	0.0130187
0.25256	0.128467	0.000618063	0.0136675
0.265188	0.129557	0.000578172	0.0143488
0.278447	0.129086	0.000555988	0.0150643
0.292369	0.129452	0.000527572	0.0158157
0.306988	0.12809	0.000497019	0.0166047
0.322337	0.128883	0.000476614	0.0174332
0.338454	0.128415	0.000447014	0.0183033
0.355377	0.129047	0.000427426	0.0192169
0.373146	0.129294	0.000410022	0.0201763
0.391803	0.128608	0.000387459	0.0211838
0.411393	0.128839	0.000366827	0.0222416
0.431963	0.128034	0.000346698	0.0233524
0.453561	0.128135	0.000351352	0.0245189
0.476239	0.128032	0.000353071	0.0257437
0.500051	0.1281	0.000349538	0.0270298
0.525053	0.127215	0.000348084	0.0283802
0.551306	0.12584	0.000336615	0.0297983
0.578871	0.125563	0.000332777	0.0312872
0.607815	0.124936	0.000324455	0.0328507
0.638206	0.124141	0.00032079	0.0344924
0.670116	0.123033	0.000309986	0.0362162
0.703622	0.123011	0.000305387	0.0380262
0.738803	0.120919	0.000296213	0.0399268
0.775743	0.117129	0.000285327	0.0419224
0.81453	0.110411	0.000345693	0.0440179
0.842198	0.0996119	0.000595551	0.0455127
