# X 	 Y 	 E 	 DX

0.035875	0	0	0.00208084
0.0376688	0	0	0.00217142
0.0395522	0	0	0.00226708
0.0415298	0	0	0.00236808
0.0436063	0	0	0.00247466
0.0457866	0	0	0.00258708
0.0480759	0	0	0.00270561
0.0504797	0	0	0.00283055
0.0530037	0	0	0.00296219
0.0556539	0	0	0.00310085
0.0584366	0	0	0.00324687
0.0613584	0	0	0.0034006
0.0644263	0	0	0.00356241
0.0676477	0	0	0.00373268
0.07103	0	0	0.00391182
0.0745815	0	0	0.00410026
0.0783106	0	0	0.00429845
0.0822262	0	0	0.00450687
0.0863375	0	0	0.00472601
0.0906543	0	0	0.0049564
0.0951871	0	0	0.00519858
0.0999464	0	0	0.00545313
0.104944	0	0	0.00572066
0.110191	0	0	0.00600181
0.1157	0	0	0.00629724
0.121485	0	0	0.00660767
0.12756	0	0	0.00693382
0.133938	0	0	0.00727648
0.140635	0.129015	0.00736113	0.00763647
0.147666	0.133615	0.00530987	0.00801463
0.15505	0.129758	0.00461859	0.00841187
0.162802	0.127632	0.00413954	0.00882915
0.170942	0.135193	0.00419207	0.00926744
0.179489	0.128028	0.00285475	0.00972779
0.188464	0.125308	0.00296043	0.0102113
0.197887	0.123767	0.00257534	0.0107191
0.207781	0.126124	0.00258088	0.0112525
0.21817	0.124985	0.00215168	0.0118126
0.229079	0.123689	0.00199566	0.0124009
0.240533	0.126435	0.00190462	0.0130187
0.25256	0.124979	0.00163951	0.0136675
0.265188	0.125082	0.00164323	0.0143488
0.278447	0.123049	0.00146014	0.0150643
0.292369	0.124092	0.00137362	0.0158157
0.306988	0.125096	0.00130393	0.0166047
0.322337	0.124834	0.00122113	0.0174332
0.338454	0.125303	0.00115664	0.0183033
0.355377	0.124935	0.00106763	0.0192169
0.373146	0.126182	0.00101739	0.0201763
0.391803	0.125024	0.000945215	0.0211838
0.411393	0.123912	0.00089281	0.0222416
0.431963	0.123652	0.000840595	0.0233524
0.453561	0.111371	0.00180852	0.0245189
0.476239	0	0	0.0257437
0.500051	0	0	0.0270298
0.525053	0	0	0.0283802
0.551306	0	0	0.0297983
0.578871	0	0	0.0312872
0.607815	0	0	0.0328507
0.638206	0	0	0.0344924
0.670116	0	0	0.0362162
0.703622	0	0	0.0380262
0.738803	0	0	0.0399268
0.775743	0	0	0.0419224
0.81453	0	0	0.0440179
0.842198	0	0	0.0455127
