# X 	 Y 	 E 	 DX

0.003075	15.844	0.427587	0.000774595
0.00322875	11.3293	0.30665	0.00077642
0.00339019	11.2276	0.289822	0.000778426
0.0035597	9.26305	0.270016	0.000780632
0.00373768	8.14535	0.206423	0.000783057
0.00392457	7.28354	0.216503	0.000785722
0.00412079	6.08712	0.14672	0.00078865
0.00432683	5.29804	0.15245	0.000791865
0.00454318	4.60324	0.134044	0.000795395
0.00477033	4.15384	0.10957	0.000799268
0.00500885	3.98027	0.103846	0.000803517
0.00525929	3.6358	0.0897093	0.000808175
0.00552226	3.22162	0.0787685	0.00081328
0.00579837	3.04361	0.0700717	0.000818871
0.00608829	2.73199	0.0632594	0.000824992
0.0063927	2.71358	0.0551475	0.000831688
0.00671234	2.40928	0.0509478	0.000839008
0.00704796	2.30992	0.0446945	0.000847005
0.00740035	2.09736	0.0400682	0.000855735
0.00777037	2.06153	0.0376651	0.000865257
0.00815889	1.92737	0.033562	0.000875636
0.00856683	1.91532	0.0311916	0.000886938
0.00899518	1.77141	0.0289768	0.000899234
0.00944494	1.69928	0.0261203	0.000912598
0.00991718	1.58666	0.0241033	0.000927109
0.010413	1.54015	0.0229879	0.000942848
0.0109337	1.39443	0.0202732	0.000959902
0.0114804	1.31266	0.018775	0.000978359
0.0120544	1.18463	0.0171455	0.000998312
0.0126571	1.11587	0.0161049	0.00101986
0.01329	1.01041	0.0144326	0.0010431
0.0139545	0.951063	0.0139468	0.00106813
0.0146522	0.820913	0.0131666	0.00109507
0.0153848	0.763612	0.0123988	0.00112402
0.016154	0.683605	0.0115135	0.0011551
0.0169617	0.630406	0.0109496	0.00118842
0.0178098	0.589477	0.0102465	0.00122411
0.0187003	0.536542	0.00963421	0.00126229
0.0196353	0.504407	0.00918661	0.00130308
0.0206171	0.455697	0.00865511	0.00134662
0.021648	0.425852	0.00821745	0.00139305
0.0227304	0.411546	0.00790819	0.00144251
0.0238669	0.375029	0.0074348	0.00149514
0.0250602	0.362687	0.00703932	0.0015511
0.0263132	0.343069	0.00680287	0.00161054
0.0276289	0.316261	0.00640521	0.00167363
0.0290103	0.307123	0.00612532	0.00174054
0.0304609	0.291711	0.0058625	0.00181145
0.0319839	0.277429	0.00560362	0.00188653
0.0335831	0.265464	0.00568395	0.00196599
0.0352623	0.255643	0.00599189	0.00205003
0.0370254	0.233307	0.00711662	0.00213886
0.0388766	0.234958	0.00816786	0.00223271
0.0408205	0.227767	0.00925538	0.0023318
0.0428615	0.218055	0.0105646	0.00243638
0.0444534	0.207448	0.013193	0.00251828
