# X 	 Y 	 E 	 DX

0.003075	23.2143	1.15363	0.000774595
0.00322875	6.72739	1.22118	0.00077642
0.00339019	11.8164	0.469474	0.000778426
0.0035597	13.7494	1.20825	0.000780632
0.00373768	7.60092	0.434845	0.000783057
0.00392457	10.0871	1.20385	0.000785722
0.00412079	6.35342	0.285209	0.00078865
0.00432683	4.41741	0.576014	0.000791865
0.00454318	4.6734	0.296095	0.000795395
0.00477033	3.89296	0.244168	0.000799268
0.00500885	4.69022	0.306949	0.000803517
0.00525929	3.62234	0.208943	0.000808175
0.00552226	3.07606	0.177727	0.00081328
0.00579837	3.07844	0.176669	0.000818871
0.00608829	2.51161	0.174759	0.000824992
0.0063927	2.80083	0.116393	0.000831688
0.00671234	2.39398	0.134616	0.000839008
0.00704796	2.2663	0.099538	0.000847005
0.00740035	2.14459	0.105049	0.000855735
0.00777037	1.87971	0.0842219	0.000865257
0.00815889	1.90126	0.0832537	0.000875636
0.00856683	1.88703	0.0716473	0.000886938
0.00899518	1.79298	0.0794619	0.000899234
0.00944494	1.69816	0.0588663	0.000912598
0.00991718	1.61779	0.0589075	0.000927109
0.010413	1.51233	0.0590216	0.000942848
0.0109337	1.42839	0.0472352	0.000959902
0.0114804	1.34213	0.0472314	0.000978359
0.0120544	1.2263	0.0429075	0.000998312
0.0126571	1.09494	0.0420031	0.00101986
0.01329	1.06832	0.0351981	0.0010431
0.0139545	0.990397	0.0435999	0.00106813
0.0146522	0.810126	0.0414401	0.00109507
0.0153848	0.797884	0.0400678	0.00112402
0.016154	0.64994	0.0359301	0.0011551
0.0169617	0.605483	0.0338435	0.00118842
0.0178098	0.588374	0.0294493	0.00122411
0.0187003	0.493897	0.0289099	0.00126229
0.0196353	0.443603	0.0270139	0.00130308
0.0206171	0.478836	0.0268055	0.00134662
0.021648	0.434338	0.0235655	0.00139305
0.0227304	0.433205	0.0236467	0.00144251
0.0238669	0.392636	0.0218415	0.00149514
0.0250602	0.366143	0.0200243	0.0015511
0.0263132	0.322366	0.0197425	0.00161054
0.0276289	0.324381	0.0180188	0.00167363
0.0290103	0.305017	0.0172721	0.00174054
0.0304609	0.303611	0.016861	0.00181145
0.0319839	0.288814	0.0154594	0.00188653
0.0335831	0.278285	0.0151946	0.00196599
0.0352623	0.266055	0.0204971	0.00205003
0.0370254	0	0	0.00213886
0.0388766	0	0	0.00223271
0.0408205	0	0	0.0023318
0.0428615	0	0	0.00243638
0.0444534	0	0	0.00251828
