# X 	 Y 	 E 	 DX

0.035875	0.268072	0.00705536	0.00208084
0.0376688	0.280006	0.00723456	0.00217142
0.0395522	0.260332	0.00987946	0.00226708
0.0415298	0.243151	0.00569161	0.00236808
0.0436063	0.23142	0.00751429	0.00247466
0.0457866	0.232466	0.00460526	0.00258708
0.0480759	0.223885	0.00576315	0.00270561
0.0504797	0.208791	0.00405537	0.00283055
0.0530037	0.208445	0.00419173	0.00296219
0.0556539	0.196551	0.00382819	0.00310085
0.0584366	0.192282	0.00309376	0.00324687
0.0613584	0.191212	0.00315453	0.0034006
0.0644263	0.183763	0.00310423	0.00356241
0.0676477	0.173486	0.00249252	0.00373268
0.07103	0.17092	0.00252856	0.00391182
0.0745815	0.168866	0.00265839	0.00410026
0.0783106	0.159961	0.0019749	0.00429845
0.0822262	0.157604	0.00197024	0.00450687
0.0863375	0.154743	0.00197074	0.00472601
0.0906543	0.150197	0.0017893	0.0049564
0.0951871	0.151943	0.00171657	0.00519858
0.0999464	0.145603	0.00157508	0.00545313
0.104944	0.147128	0.00155346	0.00572066
0.110191	0.146637	0.00136787	0.00600181
0.1157	0.14527	0.00135476	0.00629724
0.121485	0.144707	0.00125941	0.00660767
0.12756	0.142891	0.00119886	0.00693382
0.133938	0.141739	0.00114318	0.00727648
0.140635	0.138775	0.00104261	0.00763647
0.147666	0.14142	0.00101706	0.00801463
0.15505	0.140209	0.000938846	0.00841187
0.162802	0.139453	0.000926645	0.00882915
0.170942	0.140457	0.000851429	0.00926744
0.179489	0.141943	0.000813875	0.00972779
0.188464	0.139578	0.00077724	0.0102113
0.197887	0.140214	0.000732102	0.0107191
0.207781	0.139857	0.00071293	0.0112525
0.21817	0.139812	0.000662725	0.0118126
0.229079	0.139259	0.000622982	0.0124009
0.240533	0.138476	0.000608811	0.0130187
0.25256	0.138218	0.000570007	0.0136675
0.265188	0.138956	0.000533177	0.0143488
0.278447	0.139123	0.000513945	0.0150643
0.292369	0.138242	0.000486164	0.0158157
0.306988	0.138511	0.000459909	0.0166047
0.322337	0.137851	0.000439739	0.0174332
0.338454	0.138168	0.00041356	0.0183033
0.355377	0.137411	0.000394258	0.0192169
0.373146	0.138029	0.000378828	0.0201763
0.391803	0.137442	0.000357939	0.0211838
0.411393	0.137347	0.000339092	0.0222416
0.431963	0.136514	0.000320736	0.0233524
0.453561	0.136352	0.000325803	0.0245189
0.476239	0.134706	0.000326281	0.0257437
0.500051	0.135802	0.000324554	0.0270298
0.525053	0.133988	0.000322363	0.0283802
0.551306	0.133565	0.000313063	0.0297983
0.578871	0.13308	0.000309639	0.0312872
0.607815	0.131891	0.00030168	0.0328507
0.638206	0.131133	0.000298442	0.0344924
0.670116	0.128799	0.000287769	0.0362162
0.703622	0.126823	0.000282197	0.0380262
0.738803	0.122975	0.000272529	0.0399268
0.775743	0.115786	0.000260127	0.0419224
0.81453	0.105834	0.000311925	0.0440179
0.842198	0.0915982	0.000528067	0.0455127
