# X 	 Y 	 E 	 DX

0.003075	11.816	0.59027	0.000774595
0.00322875	9.04261	0.440487	0.00077642
0.00339019	9.20047	0.418779	0.000778426
0.0035597	7.76492	0.397255	0.000780632
0.00373768	6.64779	0.306807	0.000783057
0.00392457	6.08096	0.326532	0.000785722
0.00412079	5.30841	0.224863	0.00078865
0.00432683	4.74424	0.236286	0.000791865
0.00454318	4.47218	0.213384	0.000795395
0.00477033	3.79613	0.172277	0.000799268
0.00500885	3.84425	0.166847	0.000803517
0.00525929	3.26866	0.142742	0.000808175
0.00552226	3.07769	0.127037	0.00081328
0.00579837	2.63536	0.109993	0.000818871
0.00608829	2.56906	0.102129	0.000824992
0.0063927	2.49224	0.0886007	0.000831688
0.00671234	2.26853	0.0827617	0.000839008
0.00704796	2.32931	0.0751973	0.000847005
0.00740035	1.99673	0.065833	0.000855735
0.00777037	2.01332	0.0623114	0.000865257
0.00815889	1.84145	0.0554963	0.000875636
0.00856683	1.64909	0.0489219	0.000886938
0.00899518	1.67392	0.0475142	0.000899234
0.00944494	1.57746	0.0425537	0.000912598
0.00991718	1.44463	0.0388405	0.000927109
0.010413	1.37962	0.0366849	0.000942848
0.0109337	1.30421	0.032893	0.000959902
0.0114804	1.20751	0.0301641	0.000978359
0.0120544	1.12113	0.0278642	0.000998312
0.0126571	1.071	0.0261457	0.00101986
0.01329	0.970792	0.0232795	0.0010431
0.0139545	0.892311	0.022219	0.00106813
0.0146522	0.839804	0.0213819	0.00109507
0.0153848	0.734352	0.0193686	0.00112402
0.016154	0.714578	0.0185777	0.0011551
0.0169617	0.644712	0.0172972	0.00118842
0.0178098	0.599131	0.0159765	0.00122411
0.0187003	0.568746	0.0149651	0.00126229
0.0196353	0.50469	0.0138892	0.00130308
0.0206171	0.502118	0.0132977	0.00134662
0.021648	0.455208	0.0123551	0.00139305
0.0227304	0.419532	0.0115792	0.00144251
0.0238669	0.397702	0.0109481	0.00149514
0.0250602	0.376462	0.010253	0.0015511
0.0263132	0.360787	0.00981815	0.00161054
0.0276289	0.326795	0.00908226	0.00167363
0.0290103	0.318187	0.00865016	0.00174054
0.0304609	0.302273	0.0082032	0.00181145
0.0319839	0.287387	0.00779331	0.00188653
0.0335831	0.258951	0.00770304	0.00196599
0.0352623	0.262607	0.00820306	0.00205003
0.0370254	0.235788	0.009562	0.00213886
0.0388766	0.238611	0.0110809	0.00223271
0.0408205	0.227044	0.0122745	0.0023318
0.0428615	0.2234	0.0141633	0.00243638
0.0444534	0.208201	0.0175691	0.00251828
