# X 	 Y 	 E 	 DX

0.003075	11.8894	2.11788	0.000774595
0.00322875	7.81429	0.757144	0.00077642
0.00339019	0	0	0.000778426
0.0035597	7.08841	0.700074	0.000780632
0.00373768	7.21096	0.81557	0.000783057
0.00392457	6.18505	1.08656	0.000785722
0.00412079	5.98771	0.532203	0.00078865
0.00432683	4.03255	0.535916	0.000791865
0.00454318	4.58742	0.582835	0.000795395
0.00477033	3.34199	0.39038	0.000799268
0.00500885	3.42735	0.353103	0.000803517
0.00525929	3.60657	0.341998	0.000808175
0.00552226	2.88617	0.301875	0.00081328
0.00579837	1.94166	0.239656	0.000818871
0.00608829	2.68763	0.245353	0.000824992
0.0063927	2.26796	0.218073	0.000831688
0.00671234	2.26541	0.200723	0.000839008
0.00704796	2.73475	0.212093	0.000847005
0.00740035	1.70186	0.139541	0.000855735
0.00777037	1.93373	0.145994	0.000865257
0.00815889	1.99895	0.146141	0.000875636
0.00856683	1.53753	0.114223	0.000886938
0.00899518	1.44108	0.108263	0.000899234
0.00944494	1.56901	0.103692	0.000912598
0.00991718	1.45932	0.102123	0.000927109
0.010413	1.33811	0.0814885	0.000942848
0.0109337	1.26606	0.0779969	0.000959902
0.0114804	1.17132	0.0719194	0.000978359
0.0120544	1.17909	0.0690198	0.000998312
0.0126571	0.969783	0.0622422	0.00101986
0.01329	0.99894	0.0584965	0.0010431
0.0139545	0.838463	0.049975	0.00106813
0.0146522	0.779978	0.0474227	0.00109507
0.0153848	0.7437	0.0437205	0.00112402
0.016154	0.730378	0.0423824	0.0011551
0.0169617	0.693594	0.0381607	0.00118842
0.0178098	0.600374	0.0348876	0.00122411
0.0187003	0.536152	0.031716	0.00126229
0.0196353	0.506723	0.0286282	0.00130308
0.0206171	0.497566	0.0281616	0.00134662
0.021648	0.449195	0.0253092	0.00139305
0.0227304	0.388668	0.0229676	0.00144251
0.0238669	0.378708	0.022118	0.00149514
0.0250602	0.352209	0.0202325	0.0015511
0.0263132	0.376123	0.0201042	0.00161054
0.0276289	0.310335	0.0178872	0.00167363
0.0290103	0.299533	0.0169246	0.00174054
0.0304609	0.313504	0.0161487	0.00181145
0.0319839	0.277709	0.0151792	0.00188653
0.0335831	0.262901	0.0183041	0.00196599
0.0352623	0.246362	0.0190687	0.00205003
0.0370254	0.295099	0.0505616	0.00213886
0.0388766	0	0	0.00223271
0.0408205	0	0	0.0023318
0.0428615	0	0	0.00243638
0.0444534	0	0	0.00251828
