# X 	 Y 	 E 	 DX

0.035875	0.28699	0.0118612	0.00208084
0.0376688	0.278995	0.0117856	0.00217142
0.0395522	0.239749	0.015595	0.00226708
0.0415298	0.24265	0.00935802	0.00236808
0.0436063	0.219738	0.0120243	0.00247466
0.0457866	0.229366	0.00753496	0.00258708
0.0480759	0.221145	0.00942752	0.00270561
0.0504797	0.197835	0.00654732	0.00283055
0.0530037	0.198502	0.00679749	0.00296219
0.0556539	0.185912	0.00618466	0.00310085
0.0584366	0.192537	0.00509158	0.00324687
0.0613584	0.177811	0.00507465	0.0034006
0.0644263	0.168824	0.00494703	0.00356241
0.0676477	0.175276	0.00410985	0.00373268
0.07103	0.159292	0.00405296	0.00391182
0.0745815	0.154228	0.00423821	0.00410026
0.0783106	0.1525	0.00318754	0.00429845
0.0822262	0.148562	0.00318124	0.00450687
0.0863375	0.149376	0.0032144	0.00472601
0.0906543	0.14614	0.0029252	0.0049564
0.0951871	0.14265	0.00276758	0.00519858
0.0999464	0.136229	0.00254086	0.00545313
0.104944	0.139454	0.002521	0.00572066
0.110191	0.138425	0.00221375	0.00600181
0.1157	0.138196	0.00219441	0.00629724
0.121485	0.133808	0.00202829	0.00660767
0.12756	0.129536	0.00191617	0.00693382
0.133938	0.134813	0.00185554	0.00727648
0.140635	0.136687	0.00171384	0.00763647
0.147666	0.132549	0.00164409	0.00801463
0.15505	0.135193	0.00153224	0.00841187
0.162802	0.134197	0.00151522	0.00882915
0.170942	0.13073	0.00137442	0.00926744
0.179489	0.134014	0.00132116	0.00972779
0.188464	0.130159	0.00125235	0.0102113
0.197887	0.130724	0.00118081	0.0107191
0.207781	0.133339	0.00116056	0.0112525
0.21817	0.132472	0.00107643	0.0118126
0.229079	0.130012	0.00100652	0.0124009
0.240533	0.130751	0.000986931	0.0130187
0.25256	0.130521	0.0009248	0.0136675
0.265188	0.131571	0.000865272	0.0143488
0.278447	0.1305	0.000831262	0.0150643
0.292369	0.130345	0.000788018	0.0158157
0.306988	0.130189	0.00074513	0.0166047
0.322337	0.129087	0.000711597	0.0174332
0.338454	0.129129	0.000668396	0.0183033
0.355377	0.129609	0.000639344	0.0192169
0.373146	0.129967	0.000614807	0.0201763
0.391803	0.128094	0.000578164	0.0211838
0.411393	0.128548	0.000548392	0.0222416
0.431963	0.126296	0.000516551	0.0233524
0.453561	0.124045	0.000521274	0.0245189
0.476239	0.124165	0.000524688	0.0257437
0.500051	0.121624	0.000515995	0.0270298
0.525053	0.11801	0.000509959	0.0283802
0.551306	0.112587	0.000486926	0.0297983
0.578871	0.105512	0.000470944	0.0312872
0.607815	0.0940863	0.00044247	0.0328507
0.638206	0.0808372	0.000417184	0.0344924
0.670116	0.0662193	0.000379935	0.0362162
0.703622	0.0511467	0.000348236	0.0380262
0.738803	0.0361479	0.000311531	0.0399268
0.775743	0.0260716	0.000282809	0.0419224
0.81453	0.020894	0.000333503	0.0440179
0.842198	0.0173271	0.00057024	0.0455127
