# X 	 Y 	 E 	 DX

0.035875	0.28699	0.0118612	0.00208084
0.0376688	0	0	0.00217142
0.0395522	0	0	0.00226708
0.0415298	0.240025	0.0112718	0.00236808
0.0436063	0	0	0.00247466
0.0457866	0.238242	0.0108602	0.00258708
0.0480759	0.222582	0.0150434	0.00270561
0.0504797	0.193365	0.0121998	0.00283055
0.0530037	0.22047	0.0182552	0.00296219
0.0556539	0.185865	0.00961203	0.00310085
0.0584366	0.193383	0.00982292	0.00324687
0.0613584	0.188675	0.00934037	0.0034006
0.0644263	0.172554	0.0155258	0.00356241
0.0676477	0.18382	0.00709917	0.00373268
0.07103	0.155643	0.00913858	0.00391182
0.0745815	0.160798	0.0111669	0.00410026
0.0783106	0.157209	0.00572958	0.00429845
0.0822262	0.147169	0.00721722	0.00450687
0.0863375	0.146231	0.00650809	0.00472601
0.0906543	0.150758	0.00669121	0.0049564
0.0951871	0.145022	0.00586184	0.00519858
0.0999464	0.136645	0.0055244	0.00545313
0.104944	0.138297	0.00558683	0.00572066
0.110191	0.134776	0.00478244	0.00600181
0.1157	0.141892	0.00472261	0.00629724
0.121485	0.131508	0.00439238	0.00660767
0.12756	0.130092	0.00430385	0.00693382
0.133938	0.133512	0.00439863	0.00727648
0.140635	0.13842	0.00353239	0.00763647
0.147666	0.131211	0.00367652	0.00801463
0.15505	0.135785	0.00361718	0.00841187
0.162802	0.13225	0.0034844	0.00882915
0.170942	0.132672	0.00309572	0.00926744
0.179489	0.130362	0.00304091	0.00972779
0.188464	0.127112	0.00291744	0.0102113
0.197887	0.131547	0.00277503	0.0107191
0.207781	0.133387	0.00271436	0.0112525
0.21817	0.132081	0.00256828	0.0118126
0.229079	0.131526	0.00232546	0.0124009
0.240533	0.127337	0.00236058	0.0130187
0.25256	0.128586	0.00227795	0.0136675
0.265188	0.131234	0.00197774	0.0143488
0.278447	0.129208	0.00198514	0.0150643
0.292369	0.127137	0.00184594	0.0158157
0.306988	0.129887	0.00172357	0.0166047
0.322337	0.128844	0.00168655	0.0174332
0.338454	0.129544	0.00157836	0.0183033
0.355377	0.130098	0.00154688	0.0192169
0.373146	0.129969	0.00146442	0.0201763
0.391803	0.129457	0.00141823	0.0211838
0.411393	0.128803	0.00130587	0.0222416
0.431963	0.12747	0.00122382	0.0233524
0.453561	0.126739	0.00118497	0.0245189
0.476239	0.125407	0.00111705	0.0257437
0.500051	0.123379	0.001065	0.0270298
0.525053	0.119613	0.00101852	0.0283802
0.551306	0.113443	0.000919594	0.0297983
0.578871	0.107172	0.000888827	0.0312872
0.607815	0.0960582	0.000796939	0.0328507
0.638206	0.0813168	0.000732464	0.0344924
0.670116	0.0662901	0.00063687	0.0362162
0.703622	0.0508963	0.000573837	0.0380262
0.738803	0.0362182	0.000496966	0.0399268
0.775743	0.0261253	0.000449548	0.0419224
0.81453	0.0223998	0.000878629	0.0440179
0.842198	0	0	0.0455127
