# X 	 Y 	 E 	 DX

0.003075	881.924	6.94108	0.000774595
0.00322875	749.464	5.05838	0.00077642
0.00339019	734.639	4.81066	0.000778426
0.0035597	654.523	4.41979	0.000780632
0.00373768	562.693	3.26228	0.000783057
0.00392457	505.879	3.38934	0.000785722
0.00412079	443.239	2.26598	0.00078865
0.00432683	389.359	2.30589	0.000791865
0.00454318	357.877	2.02261	0.000795395
0.00477033	307.175	1.61346	0.000799268
0.00500885	289.72	1.52068	0.000803517
0.00525929	246.145	1.25862	0.000808175
0.00552226	223.97	1.11566	0.00081328
0.00579837	198.139	0.974918	0.000818871
0.00608829	178.775	0.869071	0.000824992
0.0063927	159.412	0.733086	0.000831688
0.00671234	138.226	0.666038	0.000839008
0.00704796	126.896	0.576153	0.000847005
0.00740035	111.728	0.507092	0.000855735
0.00777037	100.245	0.455664	0.000865257
0.00815889	88.1416	0.393578	0.000875636
0.00856683	78.0854	0.344551	0.000886938
0.00899518	70.0172	0.314158	0.000899234
0.00944494	62.7966	0.273266	0.000912598
0.00991718	55.6507	0.245229	0.000927109
0.010413	49.5194	0.221229	0.000942848
0.0109337	44.2381	0.192409	0.000959902
0.0114804	39.192	0.171537	0.000978359
0.0120544	35.5154	0.155316	0.000998312
0.0126571	31.692	0.140701	0.00101986
0.01329	28.4934	0.123912	0.0010431
0.0139545	25.3619	0.115048	0.00106813
0.0146522	22.5621	0.107522	0.00109507
0.0153848	20.436	0.0981838	0.00112402
0.016154	18.4115	0.0897001	0.0011551
0.0169617	16.6398	0.0828166	0.00118842
0.0178098	15.0523	0.0748441	0.00122411
0.0187003	13.7956	0.0689659	0.00126229
0.0196353	12.5556	0.0634713	0.00130308
0.0206171	11.3254	0.0576741	0.00134662
0.021648	10.3369	0.052973	0.00139305
0.0227304	9.27512	0.048262	0.00144251
0.0238669	8.35045	0.0438269	0.00149514
0.0250602	7.38594	0.0391698	0.0015511
0.0263132	6.4489	0.0356245	0.00161054
0.0276289	5.65428	0.0316658	0.00167363
0.0290103	4.7775	0.0279665	0.00174054
0.0304609	4.07037	0.0247411	0.00181145
0.0319839	3.39157	0.0217541	0.00188653
0.0335831	2.79389	0.0200126	0.00196599
0.0352623	2.36308	0.0195894	0.00205003
0.0370254	2.01464	0.0216288	0.00213886
0.0388766	1.68633	0.0227542	0.00223271
0.0408205	1.37267	0.0233998	0.0023318
0.0428615	1.22041	0.0253931	0.00243638
0.0444534	1.04222	0.0296234	0.00251828
