# X 	 Y 	 E 	 DX

0.035875	2.62017	0.0360434	0.00208084
0.0376688	2.22152	0.0329116	0.00217142
0.0395522	1.75905	0.0406734	0.00226708
0.0415298	1.5323	0.0222064	0.00236808
0.0436063	1.27021	0.0269578	0.00247466
0.0457866	1.10547	0.0154935	0.00258708
0.0480759	0.971378	0.0182758	0.00270561
0.0504797	0.80673	0.0120794	0.00283055
0.0530037	0.719019	0.0118252	0.00296219
0.0556539	0.640732	0.0104538	0.00310085
0.0584366	0.543266	0.00785595	0.00324687
0.0613584	0.477056	0.00757983	0.0034006
0.0644263	0.40576	0.00704402	0.00356241
0.0676477	0.360065	0.00548297	0.00373268
0.07103	0.326352	0.00535475	0.00391182
0.0745815	0.298592	0.00545644	0.00410026
0.0783106	0.265394	0.00391732	0.00429845
0.0822262	0.236042	0.00374524	0.00450687
0.0863375	0.214416	0.00364408	0.00472601
0.0906543	0.205094	0.00327519	0.0049564
0.0951871	0.193035	0.00306177	0.00519858
0.0999464	0.179435	0.00277513	0.00545313
0.104944	0.169117	0.00266198	0.00572066
0.110191	0.165322	0.00232429	0.00600181
0.1157	0.158374	0.0022783	0.00629724
0.121485	0.155527	0.00210918	0.00660767
0.12756	0.148122	0.0019731	0.00693382
0.133938	0.144214	0.00187487	0.00727648
0.140635	0.141775	0.00171315	0.00763647
0.147666	0.14227	0.0016599	0.00801463
0.15505	0.138663	0.00152344	0.00841187
0.162802	0.140091	0.00151194	0.00882915
0.170942	0.13768	0.00137604	0.00926744
0.179489	0.137821	0.00131162	0.00972779
0.188464	0.137383	0.00125791	0.0102113
0.197887	0.135184	0.00117796	0.0107191
0.207781	0.134734	0.00114524	0.0112525
0.21817	0.133184	0.00106219	0.0118126
0.229079	0.133024	0.000999714	0.0124009
0.240533	0.132347	0.000976616	0.0130187
0.25256	0.133198	0.000915746	0.0136675
0.265188	0.132694	0.000854897	0.0143488
0.278447	0.131322	0.000820432	0.0150643
0.292369	0.132241	0.000780231	0.0158157
0.306988	0.130255	0.000733218	0.0166047
0.322337	0.13032	0.000702223	0.0174332
0.338454	0.131094	0.000661899	0.0183033
0.355377	0.130199	0.000629817	0.0192169
0.373146	0.130285	0.000605016	0.0201763
0.391803	0.128595	0.000569817	0.0211838
0.411393	0.129787	0.000541512	0.0222416
0.431963	0.128343	0.000511496	0.0233524
0.453561	0.127097	0.000517341	0.0245189
0.476239	0.127653	0.000521953	0.0257437
0.500051	0.127236	0.000516312	0.0270298
0.525053	0.127162	0.000515376	0.0283802
0.551306	0.125635	0.000498364	0.0297983
0.578871	0.124187	0.000491231	0.0312872
0.607815	0.122908	0.0004779	0.0328507
0.638206	0.122582	0.000473371	0.0344924
0.670116	0.120437	0.000456231	0.0362162
0.703622	0.118814	0.000447307	0.0380262
0.738803	0.114443	0.000430655	0.0399268
0.775743	0.108479	0.000412101	0.0419224
0.81453	0.0992538	0.000494599	0.0440179
0.842198	0.0855588	0.0008375	0.0455127
