# X 	 Y 	 E 	 DX

0.035875	2.62017	0.0360434	0.00208084
0.0376688	0	0	0.00217142
0.0395522	0	0	0.00226708
0.0415298	1.50937	0.0266265	0.00236808
0.0436063	0	0	0.00247466
0.0457866	1.12258	0.0222688	0.00258708
0.0480759	1.07294	0.0308769	0.00270561
0.0504797	0.714187	0.0214522	0.00283055
0.0530037	0.75966	0.0313776	0.00296219
0.0556539	0.637532	0.0163575	0.00310085
0.0584366	0.570966	0.0155408	0.00324687
0.0613584	0.460812	0.0134697	0.0034006
0.0644263	0.466016	0.0233828	0.00356241
0.0676477	0.37125	0.00941281	0.00373268
0.07103	0.33235	0.0122336	0.00391182
0.0745815	0.288129	0.0139182	0.00410026
0.0783106	0.278332	0.00709644	0.00429845
0.0822262	0.230058	0.00844958	0.00450687
0.0863375	0.212943	0.00740981	0.00472601
0.0906543	0.209606	0.00744406	0.0049564
0.0951871	0.191202	0.00641201	0.00519858
0.0999464	0.173736	0.00593823	0.00545313
0.104944	0.178156	0.00605479	0.00572066
0.110191	0.167108	0.00509702	0.00600181
0.1157	0.161006	0.00487587	0.00629724
0.121485	0.15246	0.00455411	0.00660767
0.12756	0.15327	0.00446353	0.00693382
0.133938	0.148538	0.00448913	0.00727648
0.140635	0.135802	0.00346076	0.00763647
0.147666	0.142092	0.0037145	0.00801463
0.15505	0.144159	0.00363298	0.00841187
0.162802	0.147726	0.00357221	0.00882915
0.170942	0.137398	0.00307184	0.00926744
0.179489	0.136904	0.00304725	0.00972779
0.188464	0.135958	0.00294056	0.0102113
0.197887	0.137419	0.00278383	0.0107191
0.207781	0.132612	0.00265793	0.0112525
0.21817	0.133967	0.00254351	0.0118126
0.229079	0.132563	0.00229797	0.0124009
0.240533	0.133367	0.0023711	0.0130187
0.25256	0.130212	0.00223882	0.0136675
0.265188	0.132605	0.00195459	0.0143488
0.278447	0.1299	0.0019563	0.0150643
0.292369	0.130496	0.001833	0.0158157
0.306988	0.129327	0.00169393	0.0166047
0.322337	0.129352	0.00166083	0.0174332
0.338454	0.127028	0.00154585	0.0183033
0.355377	0.128698	0.00151496	0.0192169
0.373146	0.127709	0.00142829	0.0201763
0.391803	0.129844	0.00139826	0.0211838
0.411393	0.131011	0.00129361	0.0222416
0.431963	0.128928	0.00120849	0.0233524
0.453561	0.126304	0.00116337	0.0245189
0.476239	0.129487	0.00111188	0.0257437
0.500051	0.130721	0.00107124	0.0270298
0.525053	0.128997	0.00103043	0.0283802
0.551306	0.125953	0.00093984	0.0297983
0.578871	0.125234	0.000924155	0.0312872
0.607815	0.123795	0.000856388	0.0328507
0.638206	0.123018	0.000830503	0.0344924
0.670116	0.121748	0.000768742	0.0362162
0.703622	0.119662	0.000740577	0.0380262
0.738803	0.115953	0.000691286	0.0399268
0.775743	0.109136	0.000655493	0.0419224
0.81453	0.10181	0.00129512	0.0440179
0.842198	0	0	0.0455127
