# X 	 Y 	 E 	 DX

0.003075	863.102	6.36316	0.000774595
0.00322875	719.916	4.50698	0.00077642
0.00339019	719.327	4.37154	0.000778426
0.0035597	637.86	3.93453	0.000780632
0.00373768	551.152	2.88339	0.000783057
0.00392457	490.717	2.93328	0.000785722
0.00412079	427.107	1.92857	0.00078865
0.00432683	378.445	1.95415	0.000791865
0.00454318	350.764	1.70881	0.000795395
0.00477033	299.122	1.3321	0.000799268
0.00500885	283.7	1.25214	0.000803517
0.00525929	240.948	1.01536	0.000808175
0.00552226	218.516	0.888286	0.00081328
0.00579837	193.48	0.763505	0.000818871
0.00608829	176.751	0.680102	0.000824992
0.0063927	156.127	0.559365	0.000831688
0.00671234	137.239	0.504282	0.000839008
0.00704796	125.139	0.429267	0.000847005
0.00740035	110.353	0.371133	0.000855735
0.00777037	99.625	0.330582	0.000865257
0.00815889	88.5862	0.283355	0.000875636
0.00856683	78.7653	0.244936	0.000886938
0.00899518	70.4492	0.219908	0.000899234
0.00944494	62.8464	0.187938	0.000912598
0.00991718	56.1832	0.167455	0.000927109
0.010413	50.2698	0.149758	0.000942848
0.0109337	44.9832	0.128925	0.000959902
0.0114804	40.203	0.114065	0.000978359
0.0120544	35.9205	0.101434	0.000998312
0.0126571	32.3271	0.0915655	0.00101986
0.01329	29.1607	0.080057	0.0010431
0.0139545	26.0135	0.073806	0.00106813
0.0146522	23.1243	0.0682788	0.00109507
0.0153848	21.031	0.0620764	0.00112402
0.016154	18.9615	0.0564282	0.0011551
0.0169617	17.099	0.0517578	0.00118842
0.0178098	15.5422	0.0465859	0.00122411
0.0187003	14.0942	0.0425213	0.00126229
0.0196353	12.7666	0.0388358	0.00130308
0.0206171	11.7289	0.0355469	0.00134662
0.021648	10.5343	0.032261	0.00139305
0.0227304	9.56514	0.0294487	0.00144251
0.0238669	8.50567	0.0264769	0.00149514
0.0250602	7.57959	0.0236897	0.0015511
0.0263132	6.67581	0.0215322	0.00161054
0.0276289	5.78612	0.0189652	0.00167363
0.0290103	4.9424	0.0168111	0.00174054
0.0304609	4.17491	0.0147568	0.00181145
0.0319839	3.50524	0.0129852	0.00188653
0.0335831	2.92566	0.0120062	0.00196599
0.0352623	2.4495	0.011665	0.00205003
0.0370254	2.05229	0.0127267	0.00213886
0.0388766	1.75239	0.0135239	0.00223271
0.0408205	1.47423	0.0141206	0.0023318
0.0428615	1.25334	0.0149191	0.00243638
0.0444534	1.05554	0.0172161	0.00251828
