# X 	 Y 	 E 	 DX

0.003075	696.977	18.848	0.000774595
0.00322875	652.016	7.26637	0.00077642
0.00339019	0	0	0.000778426
0.0035597	566.436	6.35309	0.000780632
0.00373768	498.656	6.84067	0.000783057
0.00392457	469.981	9.17936	0.000785722
0.00412079	411.603	4.21984	0.00078865
0.00432683	356.595	4.29894	0.000791865
0.00454318	353.989	4.57979	0.000795395
0.00477033	306.306	3.14864	0.000799268
0.00500885	271.458	2.62345	0.000803517
0.00525929	237.748	2.32828	0.000808175
0.00552226	208.015	2.07906	0.00081328
0.00579837	184.946	1.7776	0.000818871
0.00608829	166.696	1.55937	0.000824992
0.0063927	148.571	1.38454	0.000831688
0.00671234	135.191	1.22585	0.000839008
0.00704796	120.186	1.11234	0.000847005
0.00740035	107.301	0.833603	0.000855735
0.00777037	97.8558	0.775416	0.000865257
0.00815889	86.2079	0.708049	0.000875636
0.00856683	77.476	0.589003	0.000886938
0.00899518	69.0165	0.531815	0.000899234
0.00944494	61.2929	0.454232	0.000912598
0.00991718	54.1808	0.431154	0.000927109
0.010413	50.1025	0.342883	0.000942848
0.0109337	44.5268	0.309586	0.000959902
0.0114804	39.8895	0.278673	0.000978359
0.0120544	35.467	0.245638	0.000998312
0.0126571	31.6658	0.224522	0.00101986
0.01329	29.1095	0.199974	0.0010431
0.0139545	26.0783	0.171409	0.00106813
0.0146522	22.9252	0.155319	0.00109507
0.0153848	21.1341	0.139494	0.00112402
0.016154	19.0033	0.128139	0.0011551
0.0169617	17.296	0.111827	0.00118842
0.0178098	15.6448	0.101762	0.00122411
0.0187003	14.2332	0.0927424	0.00126229
0.0196353	12.9817	0.0802085	0.00130308
0.0206171	11.7928	0.0758453	0.00134662
0.021648	10.6839	0.0669794	0.00139305
0.0227304	9.57722	0.0606024	0.00144251
0.0238669	8.62805	0.0544501	0.00149514
0.0250602	7.70157	0.048509	0.0015511
0.0263132	6.77836	0.0438312	0.00161054
0.0276289	5.83954	0.0377409	0.00167363
0.0290103	4.96645	0.0334235	0.00174054
0.0304609	4.2313	0.0291368	0.00181145
0.0319839	3.52447	0.0257264	0.00188653
0.0335831	2.96095	0.0286714	0.00196599
0.0352623	2.40939	0.027451	0.00205003
0.0370254	2.26396	0.0694016	0.00213886
0.0388766	0	0	0.00223271
0.0408205	0	0	0.0023318
0.0428615	0	0	0.00243638
0.0444534	0	0	0.00251828
