# X 	 Y 	 E 	 DX

0.035875	2.77958	0.0249337	0.00208084
0.0376688	2.3674	0.0224767	0.00217142
0.0395522	1.89878	0.0274203	0.00226708
0.0415298	1.57719	0.0142233	0.00236808
0.0436063	1.37711	0.0176788	0.00247466
0.0457866	1.16647	0.00991195	0.00258708
0.0480759	1.04653	0.0117859	0.00270561
0.0504797	0.866769	0.00767775	0.00283055
0.0530037	0.747618	0.00734602	0.00296219
0.0556539	0.651159	0.00639804	0.00310085
0.0584366	0.565795	0.00484624	0.00324687
0.0613584	0.485722	0.00460454	0.0034006
0.0644263	0.423061	0.00431159	0.00356241
0.0676477	0.384925	0.00338344	0.00373268
0.07103	0.332764	0.00323323	0.00391182
0.0745815	0.305941	0.00328856	0.00410026
0.0783106	0.277894	0.00238794	0.00429845
0.0822262	0.247582	0.00228193	0.00450687
0.0863375	0.226594	0.00221667	0.00472601
0.0906543	0.214377	0.0019861	0.0049564
0.0951871	0.197022	0.00183808	0.00519858
0.0999464	0.184817	0.00167056	0.00545313
0.104944	0.173886	0.00160304	0.00572066
0.110191	0.171773	0.00140733	0.00600181
0.1157	0.163129	0.00137001	0.00629724
0.121485	0.158539	0.00126433	0.00660767
0.12756	0.152156	0.00118855	0.00693382
0.133938	0.148658	0.00112869	0.00727648
0.140635	0.147489	0.00103461	0.00763647
0.147666	0.1431	0.00099111	0.00801463
0.15505	0.143072	0.000917618	0.00841187
0.162802	0.14038	0.000902451	0.00882915
0.170942	0.141425	0.000829239	0.00926744
0.179489	0.140093	0.00078665	0.00972779
0.188464	0.13872	0.000752393	0.0102113
0.197887	0.13503	0.000700349	0.0107191
0.207781	0.136231	0.000685045	0.0112525
0.21817	0.136025	0.000637108	0.0118126
0.229079	0.134281	0.000596962	0.0124009
0.240533	0.134765	0.000585295	0.0130187
0.25256	0.134118	0.000547184	0.0136675
0.265188	0.133636	0.000510185	0.0143488
0.278447	0.133617	0.000491597	0.0150643
0.292369	0.133055	0.000465588	0.0158157
0.306988	0.132706	0.000439356	0.0166047
0.322337	0.131926	0.000420068	0.0174332
0.338454	0.132242	0.000395	0.0183033
0.355377	0.13207	0.000376957	0.0192169
0.373146	0.131697	0.000361489	0.0201763
0.391803	0.131578	0.000341926	0.0211838
0.411393	0.130606	0.000323021	0.0222416
0.431963	0.131101	0.000306668	0.0233524
0.453561	0.130325	0.000310869	0.0245189
0.476239	0.129623	0.000312078	0.0257437
0.500051	0.130013	0.000309806	0.0270298
0.525053	0.129403	0.000308721	0.0283802
0.551306	0.128331	0.000298942	0.0297983
0.578871	0.127146	0.000294954	0.0312872
0.607815	0.126356	0.000287705	0.0328507
0.638206	0.12575	0.000284562	0.0344924
0.670116	0.123875	0.000274554	0.0362162
0.703622	0.122525	0.000269636	0.0380262
0.738803	0.120016	0.000261193	0.0399268
0.775743	0.114855	0.000250874	0.0419224
0.81453	0.107738	0.000303606	0.0440179
0.842198	0.0950184	0.000518548	0.0455127
