# X 	 Y 	 E 	 DX

0.003075	251.575	2.10468	0.000774595
0.00322875	195.292	1.41635	0.00077642
0.00339019	193.778	1.35791	0.000778426
0.0035597	169.715	1.22437	0.000780632
0.00373768	143.691	0.890323	0.000783057
0.00392457	125.042	0.900715	0.000785722
0.00412079	107.377	0.59339	0.00078865
0.00432683	94.1379	0.603358	0.000791865
0.00454318	85.2533	0.523805	0.000795395
0.00477033	71.8938	0.412372	0.000799268
0.00500885	67.4504	0.387679	0.000803517
0.00525929	56.9504	0.319776	0.000808175
0.00552226	51.078	0.281116	0.00081328
0.00579837	44.0302	0.241165	0.000818871
0.00608829	40.4773	0.218825	0.000824992
0.0063927	35.1461	0.181295	0.000831688
0.00671234	30.2169	0.164117	0.000839008
0.00704796	27.2759	0.140658	0.000847005
0.00740035	23.9659	0.12399	0.000855735
0.00777037	21.1442	0.110495	0.000865257
0.00815889	18.5642	0.0956786	0.000875636
0.00856683	16.2735	0.0835741	0.000886938
0.00899518	14.3644	0.0757002	0.000899234
0.00944494	12.6802	0.0653209	0.000912598
0.00991718	11.2113	0.0586954	0.000927109
0.010413	9.80312	0.0527261	0.000942848
0.0109337	8.60625	0.0454049	0.000959902
0.0114804	7.59786	0.0405378	0.000978359
0.0120544	6.68538	0.0361871	0.000998312
0.0126571	5.98396	0.0329674	0.00101986
0.01329	5.2251	0.0285936	0.0010431
0.0139545	4.65941	0.0266735	0.00106813
0.0146522	4.06793	0.0247353	0.00109507
0.0153848	3.61332	0.0224194	0.00112402
0.016154	3.18853	0.0203239	0.0011551
0.0169617	2.82757	0.018634	0.00118842
0.0178098	2.52185	0.0167639	0.00122411
0.0187003	2.28333	0.0154181	0.00126229
0.0196353	2.02359	0.0140158	0.00130308
0.0206171	1.83047	0.0128363	0.00134662
0.021648	1.66049	0.0118169	0.00139305
0.0227304	1.50406	0.0108858	0.00144251
0.0238669	1.34445	0.00994602	0.00149514
0.0250602	1.20262	0.00901264	0.0015511
0.0263132	1.10359	0.00849068	0.00161054
0.0276289	1.00203	0.00777302	0.00167363
0.0290103	0.879725	0.0071272	0.00174054
0.0304609	0.791668	0.00660262	0.00181145
0.0319839	0.716575	0.0061601	0.00188653
0.0335831	0.628557	0.00603367	0.00196599
0.0352623	0.579869	0.00626625	0.00205003
0.0370254	0.522585	0.00731781	0.00213886
0.0388766	0.476015	0.00823589	0.00223271
0.0408205	0.430643	0.00917474	0.0023318
0.0428615	0.407129	0.0103901	0.00243638
0.0444534	0.378906	0.0128554	0.00251828
