# X 	 Y 	 E 	 DX

0.035875	0.639855	0.0101916	0.00208084
0.0376688	0.570161	0.0096101	0.00217142
0.0395522	0.513471	0.0128219	0.00226708
0.0415298	0.461639	0.00713061	0.00236808
0.0436063	0.41038	0.00905414	0.00247466
0.0457866	0.387889	0.00541905	0.00258708
0.0480759	0.380702	0.00678759	0.00270561
0.0504797	0.340561	0.00467268	0.00283055
0.0530037	0.312245	0.00464454	0.00296219
0.0556539	0.300735	0.00427462	0.00310085
0.0584366	0.287204	0.00340851	0.00324687
0.0613584	0.269669	0.00338742	0.0034006
0.0644263	0.258661	0.00333107	0.00356241
0.0676477	0.248517	0.00268107	0.00373268
0.07103	0.237405	0.00268531	0.00391182
0.0745815	0.229185	0.00279496	0.00410026
0.0783106	0.215261	0.00206586	0.00429845
0.0822262	0.206662	0.0020338	0.00450687
0.0863375	0.20199	0.00203131	0.00472601
0.0906543	0.193248	0.00182951	0.0049564
0.0951871	0.190302	0.00174024	0.00519858
0.0999464	0.18146	0.00159193	0.00545313
0.104944	0.1756	0.00154275	0.00572066
0.110191	0.17003	0.00134322	0.00600181
0.1157	0.165526	0.00132094	0.00629724
0.121485	0.161495	0.0012198	0.00660767
0.12756	0.157553	0.00115434	0.00693382
0.133938	0.152971	0.0010924	0.00727648
0.140635	0.15164	0.00100146	0.00763647
0.147666	0.146935	0.000958954	0.00801463
0.15505	0.14622	0.000886166	0.00841187
0.162802	0.145037	0.000873357	0.00882915
0.170942	0.142296	0.000794982	0.00926744
0.179489	0.141252	0.000755187	0.00972779
0.188464	0.139907	0.000722504	0.0102113
0.197887	0.13753	0.000675247	0.0107191
0.207781	0.136875	0.000656666	0.0112525
0.21817	0.137952	0.000612476	0.0118126
0.229079	0.1368	0.000574768	0.0124009
0.240533	0.136017	0.000561425	0.0130187
0.25256	0.1369	0.00052711	0.0136675
0.265188	0.136336	0.000491339	0.0143488
0.278447	0.135338	0.000472219	0.0150643
0.292369	0.135499	0.00044806	0.0158157
0.306988	0.135072	0.000422881	0.0166047
0.322337	0.13521	0.000405377	0.0174332
0.338454	0.135465	0.000381071	0.0183033
0.355377	0.134701	0.000363217	0.0192169
0.373146	0.13424	0.000348023	0.0201763
0.391803	0.134132	0.00032926	0.0211838
0.411393	0.133881	0.000311628	0.0222416
0.431963	0.133098	0.000294772	0.0233524
0.453561	0.13293	0.000299348	0.0245189
0.476239	0.132816	0.000301269	0.0257437
0.500051	0.132009	0.000297978	0.0270298
0.525053	0.131808	0.000297338	0.0283802
0.551306	0.130567	0.000287918	0.0297983
0.578871	0.13033	0.000284944	0.0312872
0.607815	0.129039	0.00027759	0.0328507
0.638206	0.128185	0.000274428	0.0344924
0.670116	0.126094	0.000264764	0.0362162
0.703622	0.124435	0.000259926	0.0380262
0.738803	0.120464	0.000250869	0.0399268
0.775743	0.114025	0.000240018	0.0419224
0.81453	0.104311	0.000287554	0.0440179
0.842198	0.0909616	0.00048833	0.0455127
