# X 	 Y 	 E 	 DX

0.035875	0	0	0.00208084
0.0376688	0	0	0.00217142
0.0395522	0	0	0.00226708
0.0415298	0	0	0.00236808
0.0436063	0	0	0.00247466
0.0457866	0	0	0.00258708
0.0480759	0	0	0.00270561
0.0504797	0	0	0.00283055
0.0530037	0	0	0.00296219
0.0556539	0	0	0.00310085
0.0584366	0	0	0.00324687
0.0613584	0	0	0.0034006
0.0644263	0	0	0.00356241
0.0676477	0	0	0.00373268
0.07103	0	0	0.00391182
0.0745815	0	0	0.00410026
0.0783106	0	0	0.00429845
0.0822262	0	0	0.00450687
0.0863375	0	0	0.00472601
0.0906543	0	0	0.0049564
0.0951871	0	0	0.00519858
0.0999464	0	0	0.00545313
0.104944	0	0	0.00572066
0.110191	0	0	0.00600181
0.1157	0	0	0.00629724
0.121485	0	0	0.00660767
0.12756	0	0	0.00693382
0.133938	0	0	0.00727648
0.140635	0.151838	0.0074159	0.00763647
0.147666	0.141328	0.00513801	0.00801463
0.15505	0.151389	0.00465055	0.00841187
0.162802	0.139627	0.00403175	0.00882915
0.170942	0.139099	0.00402161	0.00926744
0.179489	0.13284	0.00272816	0.00972779
0.188464	0.134036	0.00286495	0.0102113
0.197887	0.135921	0.00252148	0.0107191
0.207781	0.134321	0.00250639	0.0112525
0.21817	0.138105	0.0021062	0.0118126
0.229079	0.134019	0.00194079	0.0124009
0.240533	0.13433	0.00184159	0.0130187
0.25256	0.131385	0.00157705	0.0136675
0.265188	0.138262	0.00161144	0.0143488
0.278447	0.133847	0.00142068	0.0150643
0.292369	0.13186	0.0013265	0.0158157
0.306988	0.13364	0.00126045	0.0166047
0.322337	0.134511	0.00118608	0.0174332
0.338454	0.132596	0.00111343	0.0183033
0.355377	0.13277	0.00103131	0.0192169
0.373146	0.132198	0.000976899	0.0201763
0.391803	0.134385	0.000916702	0.0211838
0.411393	0.133066	0.000864882	0.0222416
0.431963	0.129614	0.000806267	0.0233524
0.453561	0.122402	0.00176547	0.0245189
0.476239	0	0	0.0257437
0.500051	0	0	0.0270298
0.525053	0	0	0.0283802
0.551306	0	0	0.0297983
0.578871	0	0	0.0312872
0.607815	0	0	0.0328507
0.638206	0	0	0.0344924
0.670116	0	0	0.0362162
0.703622	0	0	0.0380262
0.738803	0	0	0.0399268
0.775743	0	0	0.0419224
0.81453	0	0	0.0440179
0.842198	0	0	0.0455127
