# X 	 Y 	 E 	 DX

0.003075	161.886	6.79072	0.000774595
0.00322875	131.197	2.4338	0.00077642
0.00339019	0	0	0.000778426
0.0035597	107.384	2.12934	0.000780632
0.00373768	92.9138	2.34193	0.000783057
0.00392457	89.2804	3.23668	0.000785722
0.00412079	75.554	1.50836	0.00078865
0.00432683	65.8406	1.61093	0.000791865
0.00454318	62.1117	1.64974	0.000795395
0.00477033	56.857	1.23657	0.000799268
0.00500885	47.4309	1.02763	0.000803517
0.00525929	39.965	0.928145	0.000808175
0.00552226	35.001	0.855848	0.00081328
0.00579837	32.4743	0.77602	0.000818871
0.00608829	28.2279	0.686295	0.000824992
0.0063927	23.1831	0.601825	0.000831688
0.00671234	21.0009	0.540766	0.000839008
0.00704796	19.3089	0.517702	0.000847005
0.00740035	17.2448	0.396185	0.000855735
0.00777037	15.1945	0.372284	0.000865257
0.00815889	13.002	0.344804	0.000875636
0.00856683	11.8368	0.295513	0.000886938
0.00899518	9.64912	0.260945	0.000899234
0.00944494	8.62525	0.22889	0.000912598
0.00991718	7.90645	0.227141	0.000927109
0.010413	6.95901	0.178244	0.000942848
0.0109337	6.08072	0.162687	0.000959902
0.0114804	5.39961	0.149141	0.000978359
0.0120544	4.67004	0.131506	0.000998312
0.0126571	4.08534	0.12053	0.00101986
0.01329	3.71968	0.10869	0.0010431
0.0139545	3.37412	0.0943245	0.00106813
0.0146522	2.86681	0.0857569	0.00109507
0.0153848	2.422	0.0744682	0.00112402
0.016154	2.26516	0.0699071	0.0011551
0.0169617	2.0272	0.0618213	0.00118842
0.0178098	1.88871	0.0572947	0.00122411
0.0187003	1.52342	0.0497495	0.00126229
0.0196353	1.49467	0.0450144	0.00130308
0.0206171	1.2694	0.0417252	0.00134662
0.021648	1.16887	0.0369912	0.00139305
0.0227304	1.07376	0.0344498	0.00144251
0.0238669	0.955562	0.0310372	0.00149514
0.0250602	0.886486	0.0283256	0.0015511
0.0263132	0.812866	0.0265546	0.00161054
0.0276289	0.685358	0.0229668	0.00167363
0.0290103	0.665144	0.0218483	0.00174054
0.0304609	0.587501	0.0194766	0.00181145
0.0319839	0.489188	0.01769	0.00188653
0.0335831	0.437595	0.0206711	0.00196599
0.0352623	0.425997	0.0218133	0.00205003
0.0370254	0.451084	0.0575038	0.00213886
0.0388766	0	0	0.00223271
0.0408205	0	0	0.0023318
0.0428615	0	0	0.00243638
0.0444534	0	0	0.00251828
