# scan = 2
# date = 11/8/2003
# time = 10:56:11 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scanrel s1 1 -1 -.1 preset mcu 4
# builtin_command = scan s1 @(s1)+1 @(s1)+-1 -0.100000
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = 0.132841,0.132841,0.000000,0.000000,0.000000,0.259956,0.076696,-0.076696,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1   -36.8976      0.926      0.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9566     1.9567    -0.0356    14.6405    14.6392     0.0013   295.0000   294.8450   294.362
      2   -36.9961      0.929      3.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9567     1.9567    -0.0322    14.6405    14.6392     0.0013   295.0000   294.8450   294.362
      3   -37.0965      0.925      2.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9567     1.9568    -0.0287    14.6405    14.6392     0.0013   295.0000   294.8450   294.362
      4   -37.1969      0.944      4.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9568     1.9568    -0.0252    14.6405    14.6392     0.0013   295.0000   294.8450   294.362
      5   -37.2963      0.968     14.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9568     1.9568    -0.0217    14.6405    14.6392     0.0013   295.0000   294.8450   294.362
      6   -37.3976      0.948     25.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9568     1.9569    -0.0182    14.6405    14.6392     0.0013   295.0000   294.8420   294.359
      7   -37.4980      0.932     60.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9569     1.9569    -0.0147    14.6405    14.6392     0.0013   295.0000   294.8420   294.359
      8   -37.5974      0.951    118.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9569     1.9569    -0.0112    14.6405    14.6392     0.0013   295.0000   294.8420   294.359
      9   -37.6969      0.972    158.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9569     1.9570    -0.0077    14.6405    14.6392     0.0013   295.0000   294.8420   294.359
     10   -37.7972      0.919    104.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9569     1.9570    -0.0042    14.6405    14.6392     0.0013   295.0000   294.8420   294.359
     11   -37.8976      0.957     51.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9569     1.9570    -0.0007    14.6405    14.6392     0.0013   295.0000   294.8390   294.348
     12   -37.9980      0.922     18.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9569     1.9570     0.0028    14.6405    14.6392     0.0013   295.0000   294.8390   294.348
     13   -38.0984      0.944     16.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9569     1.9570     0.0063    14.6405    14.6392     0.0013   295.0000   294.8390   294.348
     14   -38.1978      0.945      5.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9569     1.9569     0.0098    14.6405    14.6392     0.0013   295.0000   294.8390   294.348
     15   -38.2972      0.947      1.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9569     1.9569     0.0132    14.6405    14.6392     0.0013   295.0000   294.8300   294.357
     16   -38.3986      0.954      2.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9568     1.9569     0.0168    14.6405    14.6392     0.0013   295.0000   294.8300   294.357
     17   -38.4970      0.929      0.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9568     1.9569     0.0202    14.6405    14.6392     0.0013   295.0000   294.8300   294.357
     18   -38.5974      0.961      0.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9568     1.9568     0.0237    14.6405    14.6392     0.0013   295.0000   294.8300   294.357
     19   -38.6978      0.935      1.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9567     1.9568     0.0272    14.6405    14.6392     0.0013   295.0000   294.8300   294.357
     20   -38.7963      0.960      0.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9567     1.9567     0.0307    14.6405    14.6392     0.0013   295.0000   294.8340   294.343
     21   -38.8976      0.951      1.000   3700.000      1.000    41.2537   -75.8326    -0.0005     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9566     1.9567     0.0342    14.6405    14.6392     0.0013   295.0000   294.8340   294.343
# Sum of Counts = 583
# Center of Mass = -37.692014+/-2.207665
# Full Width Half-Maximum = 0.402082+/-0.974473
# 10:56:59 AM  11/8/2003   scan completed.
