# scan = 3
# date = 11/8/2003
# time = 10:57:45 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgl -4 4 .25 preset mcu 4
# builtin_command = scan sgl -4 4 .25 preset mcu 4
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = 0.132841,0.132841,0.000000,0.000000,0.000000,0.259956,0.076696,-0.076696,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 4.000000
# def_x = sgl
# def_y = detector
# col_headers = 
#   Pt.        sgl       time   detector    monitor        mcu         m2         s1         s2        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -4.0000      3.778      1.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.7157     2.1886    -0.0080    14.6405    14.6392     0.0013   295.0000   294.8120   294.323
      2    -3.7530      3.728      1.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.7309     2.1746    -0.0080    14.6405    14.6392     0.0013   295.0000   294.8110   294.324
      3    -3.5000      3.764      0.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.7463     2.1602    -0.0080    14.6405    14.6392     0.0013   295.0000   294.8110   294.324
      4    -3.2500      3.751      3.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.7616     2.1459    -0.0080    14.6405    14.6392     0.0013   295.0000   294.8100   294.323
      5    -2.9990      3.781      0.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.7769     2.1316    -0.0080    14.6405    14.6392     0.0013   295.0000   294.8100   294.323
      6    -2.7500      3.812      0.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.7920     2.1173    -0.0080    14.6405    14.6392     0.0013   295.0000   294.8080   294.321
      7    -2.4995      3.789      1.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.8072     2.1029    -0.0080    14.6405    14.6392     0.0013   295.0000   294.8090   294.330
      8    -2.2500      3.784      3.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.8223     2.0885    -0.0080    14.6405    14.6392     0.0013   295.0000   294.8090   294.330
      9    -1.9990      3.742      9.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.8375     2.0740    -0.0080    14.6405    14.6392     0.0013   295.0000   294.8050   294.322
     10    -1.7500      3.729     16.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.8525     2.0595    -0.0080    14.6405    14.6392     0.0013   295.0000   294.8050   294.322
     11    -1.4995      3.833     52.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.8676     2.0449    -0.0080    14.6405    14.6392     0.0013   295.0000   294.8010   294.315
     12    -1.2500      3.788    121.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.8825     2.0304    -0.0080    14.6405    14.6392     0.0013   295.0000   294.8010   294.315
     13    -0.9995      3.754    157.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.8975     2.0157    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7940   294.311
     14    -0.7500      3.752    300.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9124     2.0011    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7940   294.317
     15    -0.4995      3.703    324.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9273     1.9864    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7940   294.317
     16    -0.2500      3.731    448.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9421     1.9717    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7950   294.300
     17     0.0010      3.744    536.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9570     1.9569    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7950   294.300
     18     0.2500      3.777    568.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9717     1.9421    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7950   294.301
     19     0.5005      3.738    570.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     1.9865     1.9272    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7950   294.301
     20     0.7500      3.774    527.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     2.0011     1.9124    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7890   294.292
     21     1.0005      3.790    487.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     2.0158     1.8974    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7890   294.292
     22     1.2505      3.809    356.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     2.0304     1.8825    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7860   294.298
     23     1.5005      3.780    295.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     2.0450     1.8675    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7930   294.302
     24     1.7505      3.761    189.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     2.0595     1.8525    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7930   294.302
     25     2.0005      3.765    102.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     2.0740     1.8374    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7890   294.296
     26     2.2500      3.798     50.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     2.0885     1.8223    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7890   294.296
     27     2.5005      3.753      6.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     2.1029     1.8072    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7860   294.287
     28     2.7500      3.808      2.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     2.1173     1.7920    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7860   294.287
     29     3.0005      3.803      0.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     2.1317     1.7768    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7850   294.291
     30     3.2500      3.779      0.000  14800.000      4.000    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     2.1459     1.7616    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7850   294.291
     31     3.5005      0.001      0.000      2.000      0.001    41.2537   -37.6900   -75.8326     0.0005     0.0000    -0.0010    20.6267    41.2556     3.2668     2.1602     1.7463    -0.0080    14.6405    14.6392     0.0013   295.0000   294.7810   294.299
# Sum of Counts = 5124
# Center of Mass = 0.372426+/-0.013931
# Full Width Half-Maximum = 1.693560+/-0.024229
# 11:00:39 AM  11/8/2003   scan stopped!!
