# scan = 4
# date = 11/8/2003
# time = 11:03:12 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgu -8 8 .4 preset mcu 4
# builtin_command = scan sgu -8 8 .4 preset mcu 4
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.001004,-0.000053,0.259949,-0.132839,-0.132841,-0.001034,0.076692,-0.076696,0.001611
# mode = 0
# plane_normal = -0.006196,0.000009,0.999981
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_110152AM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 4.000000
# def_x = sgu
# def_y = detector
# col_headers = 
#   Pt.        sgu       time   detector    monitor        mcu         m2         s1         s2        sgl        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -7.9980      3.781      3.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.7493     1.2313    -0.0010    14.6405    14.6392     0.0013   295.0000   294.7750   294.297
      2    -7.6035      3.791      0.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.7620     1.2204    -0.0010    14.6405    14.6392     0.0013   295.0000   294.7740   294.299
      3    -7.1990      3.773      2.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.7751     1.2092    -0.0009    14.6405    14.6392     0.0013   295.0000   294.7720   294.298
      4    -6.8000      3.747      4.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.7879     1.1981    -0.0009    14.6405    14.6392     0.0013   295.0000   294.7720   294.298
      5    -6.4000      3.777      3.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.8007     1.1869    -0.0008    14.6405    14.6392     0.0013   295.0000   294.7740   294.287
      6    -5.9995      3.809      2.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.8135     1.1756    -0.0008    14.6405    14.6392     0.0013   295.0000   294.7740   294.287
      7    -5.6000      3.826      0.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.8262     1.1643    -0.0007    14.6405    14.6392     0.0013   295.0000   294.7730   294.298
      8    -5.1995      3.746      4.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.8389     1.1529    -0.0007    14.6405    14.6392     0.0013   295.0000   294.7730   294.298
      9    -4.7995      3.752      1.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.8516     1.1414    -0.0006    14.6405    14.6392     0.0013   295.0000   294.7600   294.297
     10    -4.4000      3.720      1.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.8642     1.1300    -0.0006    14.6405    14.6392     0.0013   295.0000   294.7660   294.297
     11    -3.9995      3.775      1.000  14800.000      4.000    41.2537    71.9272   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.8768     1.1184    -0.0005    14.6405    14.6392     0.0013   295.0000   294.7660   294.297
