# scan = 7
# date = 11/8/2003
# time = 11:17:35 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgu -3 1 .4
# builtin_command = scan sgu -3 1 .4
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.001004,-0.000053,0.259949,-0.132839,-0.132841,-0.001034,0.076692,-0.076696,0.001611
# mode = 0
# plane_normal = -0.006196,0.000009,0.999981
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_110152AM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = sgu
# def_y = detector
# col_headers = 
#   Pt.        sgu       time   detector    monitor        mcu         m2         s1         s2        sgl        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -3.0000      0.924    188.000   3700.000      1.000    41.2537    72.3219   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9080     1.0893    -0.0075    14.6405    14.6392     0.0013   295.0000   294.8630   294.361
      2    -2.6035      0.932    203.000   3700.000      1.000    41.2537    72.3219   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9203     1.0776    -0.0074    14.6405    14.6392     0.0013   295.0000   294.8630   294.361
      3    -2.1995      0.933    202.000   3700.000      1.000    41.2537    72.3219   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9328     1.0657    -0.0074    14.6405    14.6392     0.0013   295.0000   294.8570   294.362
      4    -1.7995      0.930    210.000   3700.000      1.000    41.2537    72.3219   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9451     1.0539    -0.0073    14.6405    14.6392     0.0013   295.0000   294.8570   294.362
      5    -1.4000      0.929    212.000   3700.000      1.000    41.2537    72.3219   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9574     1.0420    -0.0073    14.6405    14.6392     0.0013   295.0000   294.8570   294.362
      6    -0.9995      0.970    189.000   3700.000      1.000    41.2537    72.3219   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9696     1.0301    -0.0072    14.6405    14.6392     0.0013   295.0000   294.8660   294.364
      7    -0.5995      0.950    159.000   3700.000      1.000    41.2537    72.3219   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9818     1.0181    -0.0072    14.6405    14.6392     0.0013   295.0000   294.8660   294.364
      8    -0.1995      0.964    133.000   3700.000      1.000    41.2537    72.3219   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9939     1.0060    -0.0071    14.6405    14.6392     0.0013   295.0000   294.8660   294.364
      9     0.2005      0.934     87.000   3700.000      1.000    41.2537    72.3219   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0060     0.9939    -0.0071    14.6405    14.6392     0.0013   295.0000   294.8610   294.378
     10     0.6000      0.933     61.000   3700.000      1.000    41.2537    72.3219   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0181     0.9818    -0.0071    14.6405    14.6392     0.0013   295.0000   294.8610   294.378
     11     1.0005      0.956     53.000   3700.000      1.000    41.2537    72.3219   -36.6032     0.3550     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0301     0.9696    -0.0070    14.6405    14.6392     0.0013   295.0000   294.8610   294.378
# Sum of Counts = 1697
# Center of Mass = -1.423214+/-0.055617
# Full Width Half-Maximum = 2.189156+/-0.057332
# 11:18:12 AM  11/8/2003   scan completed.
