# scan = 8
# date = 11/8/2003
# time = 11:31:10 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scanrel s1 1 -1 -.15
# builtin_command = scan s1 @(s1)+1 @(s1)+-1 -0.150000
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.001004,-0.000053,0.259949,-0.132839,-0.132841,-0.001034,0.076692,-0.076696,0.001611
# mode = 0
# plane_normal = -0.006196,0.000009,0.999981
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_110152AM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    73.3209      0.968      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9998     0.9997    -0.0249    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      2    73.1713      0.952      1.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9998     0.9997    -0.0223    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      3    73.0207      0.958      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9999     0.9998    -0.0196    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      4    72.8730      0.957      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9999     0.9998    -0.0170    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      5    72.7205      0.938      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0000     0.9999    -0.0142    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      6    72.5699      0.951      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0000     0.9999    -0.0115    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      7    72.4213      0.939      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0000     0.9999    -0.0089    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      8    72.2717      0.948      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0001     0.9999    -0.0062    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      9    72.1211      0.963      1.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0001     0.9999    -0.0035    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     10    71.9705      0.924      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0001     0.9999    -0.0009    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     11    71.8199      0.933      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0001     0.9999     0.0018    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     12    71.6703      0.895      1.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0001     0.9999     0.0045    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     13    71.5197      0.934      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0000     0.9999     0.0072    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     14    71.3711      0.926      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     1.0000     0.9999     0.0098    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
# Sum of Counts = 3
# Center of Mass = 72.320900+/-59.050884
# Full Width Half-Maximum = 1.257713+/-68.188504
# 11:31:46 AM  11/8/2003   scan completed.
