# scan = 10
# date = 11/8/2003
# time = 11:41:07 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan s1 80 65 -.2 preset mcu 2
# builtin_command = scan s1 80 65 -.2 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.001004,-0.000053,0.259949,-0.132839,-0.132841,-0.001034,0.076692,-0.076696,0.001611
# mode = 0
# plane_normal = -0.006196,0.000009,0.999981
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    80.0010      1.863      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9901     0.9900    -0.1436    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      2    79.8012      1.892      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9906     0.9905    -0.1401    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      3    79.5994      1.865      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9911     0.9910    -0.1365    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      4    79.3996      1.860      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9916     0.9914    -0.1330    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      5    79.1998      1.877      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9920     0.9919    -0.1295    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      6    79.0010      1.872      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9924     0.9923    -0.1259    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      7    78.7992      1.873      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9929     0.9928    -0.1224    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      8    78.6004      1.932      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9933     0.9932    -0.1188    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      9    78.4006      1.909      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9937     0.9936    -0.1153    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     10    78.1998      1.865      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9941     0.9940    -0.1117    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     11    78.0010      1.895      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9944     0.9943    -0.1082    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     12    77.8002      1.898      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9948     0.9947    -0.1047    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     13    77.5994      1.889      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9952     0.9950    -0.1011    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     14    77.3996      1.854      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9955     0.9954    -0.0976    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     15    77.2008      1.873      2.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9958     0.9957    -0.0940    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     16    77.0020      1.881      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9961     0.9960    -0.0905    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     17    76.8002      1.861      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9964     0.9963    -0.0869    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     18    76.5994      1.912      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9967     0.9966    -0.0833    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     19    76.3996      1.876      4.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9970     0.9969    -0.0798    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     20    76.1998      1.899      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9973     0.9972    -0.0762    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     21    76.0000      1.913      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9975     0.9974    -0.0727    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     22    75.8002      1.906      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9978     0.9977    -0.0691    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     23    75.6014      1.876      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9980     0.9979    -0.0656    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     24    75.4006      1.876      3.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9982     0.9981    -0.0620    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     25    75.2008      1.893      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9984     0.9983    -0.0584    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     26    75.0000      1.880      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9986     0.9985    -0.0549    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     27    74.8002      1.875      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9988     0.9987    -0.0513    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     28    74.6004      1.871      0.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9990     0.9989    -0.0478    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     29    74.3996      1.892      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9991     0.9990    -0.0442    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     30    74.2018      1.905      3.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9993     0.9992    -0.0406    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     31    74.0030      1.864      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9994     0.9993    -0.0371    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     32    73.8012      1.870      1.000   7400.000      2.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9995     0.9994    -0.0335    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
