# scan = 11
# date = 11/8/2003
# time = 11:55:13 AM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scanrel s1 4 -4 -.15 preset mcu 2
# builtin_command = scan s1 @(s1)+4 @(s1)+-4 -0.150000
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.001004,-0.000053,0.259949,-0.132839,-0.132841,-0.001034,0.076692,-0.076696,0.001611
# mode = 0
# plane_normal = -0.006196,0.000009,0.999981
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    75.9990      0.965      2.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9975     0.9974    -0.0727    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      2    75.8494      0.950      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9977     0.9976    -0.0700    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      3    75.6988      0.954      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9979     0.9978    -0.0673    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      4    75.5502      0.966      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9981     0.9979    -0.0647    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      5    75.3996      0.938      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9982     0.9981    -0.0620    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      6    75.2500      0.964      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9984     0.9983    -0.0593    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      7    75.0994      0.925      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9985     0.9984    -0.0566    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      8    74.9488      0.925      1.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9987     0.9986    -0.0540    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      9    74.7992      0.933      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9988     0.9987    -0.0513    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     10    74.6486      0.963      0.000   3700.000      1.000    41.2537   -36.6032     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6693     0.9989     0.9988    -0.0486    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
