# scan = 14
# date = 11/8/2003
# time = 12:15:59 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scanrel s1 4 -4 -.15 preset mcu 2
# builtin_command = scan s1 @(s1)+4 @(s1)+-4 -0.150000
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.001004,-0.000053,0.259949,-0.132839,-0.132841,-0.001034,0.076692,-0.076696,0.001611
# mode = 0
# plane_normal = -0.006196,0.000009,0.999981
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1   -33.6860      0.945      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.1366     0.1366     1.9951    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      2   -33.8346      0.946      2.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.1316     0.1316     1.9955    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      3   -33.9843      0.920      1.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.1265     0.1265     1.9958    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      4   -34.1348      0.957      1.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.1213     0.1213     1.9962    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      5   -34.2844      0.935      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.1162     0.1162     1.9965    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      6   -34.4370      0.922      4.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.1110     0.1110     1.9968    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      7   -34.5856      0.937      3.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.1060     0.1060     1.9971    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      8   -34.7362      0.937     10.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.1008     0.1008     1.9974    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      9   -34.8839      0.919     35.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0958     0.0958     1.9976    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     10   -35.0354      0.947    109.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0906     0.0906     1.9979    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     11   -35.1850      0.907    111.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0855     0.0855     1.9981    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     12   -35.3356      0.938     53.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0804     0.0804     1.9983    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     13   -35.4852      0.913     15.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0753     0.0753     1.9985    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     14   -35.6358      0.961      6.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0701     0.0701     1.9987    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     15   -35.7844      0.925      1.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0651     0.0650     1.9989    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     16   -35.9350      0.913      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0599     0.0599     1.9991    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     17   -36.0837      0.945      1.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0548     0.0548     1.9992    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     18   -36.2362      0.974      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0496     0.0496     1.9994    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     19   -36.3858      0.936      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0445     0.0445     1.9995    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     20   -36.5364      0.913      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0394     0.0394     1.9996    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     21   -36.6831      0.937      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0344     0.0344     1.9997    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     22   -36.8356      0.938      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0292     0.0292     1.9998    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     23   -36.9843      0.944      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0241     0.0241     1.9999    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     24   -37.1348      0.962      0.000   3700.000      1.000    41.2537   -75.8316     0.3550     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0189     0.0189     1.9999    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
