# scan = 15
# date = 11/8/2003
# time = 12:19:42 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgl -4 4 .4 preset mcu 2
# builtin_command = scan sgl -4 4 .4 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.001004,-0.000053,0.259949,-0.132839,-0.132841,-0.001034,0.076692,-0.076696,0.001611
# mode = 0
# plane_normal = -0.006196,0.000009,0.999981
# ubconf = 
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = sgl
# def_y = detector
# col_headers = 
#   Pt.        sgl       time   detector    monitor        mcu         m2         s1         s2        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -4.0000      1.869      1.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.1687     0.3455     1.9922    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      2    -3.6025      1.881      1.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.1453     0.3220     1.9932    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      3    -3.2000      1.865      1.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.1215     0.2983     1.9941    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      4    -2.8000      1.872      0.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.0979     0.2747     1.9949    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      5    -2.4000      1.914      0.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.0743     0.2511     1.9957    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      6    -2.0000      1.902      2.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.0507     0.2275     1.9963    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      7    -1.6000      1.859      6.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.0271     0.2039     1.9968    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      8    -1.2000      1.857     59.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667    -0.0035     0.1802     1.9972    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      9    -0.8000      1.896     90.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0201     0.1566     1.9976    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     10    -0.4000      1.888    186.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0438     0.1330     1.9978    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     11     0.0005      1.895    247.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0674     0.1093     1.9979    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     12     0.4000      1.831    266.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.0910     0.0857     1.9980    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     13     0.8000      1.899    300.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.1147     0.0621     1.9979    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     14     1.2000      1.908    219.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.1383     0.0384     1.9978    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     15     1.6000      1.919    162.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.1619     0.0148     1.9975    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     16     2.0005      1.881     97.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.1856    -0.0089     1.9972    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     17     2.4005      1.897     33.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.2092    -0.0325     1.9967    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     18     2.8005      1.917      5.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.2328    -0.0561     1.9962    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     19     3.2005      1.883      1.000   7400.000      2.000    41.2537   -35.1014   -75.8316     0.0025     0.0000    -0.0010    20.6267    41.2556     3.2667     0.2564    -0.0797     1.9955    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
