# scan = 16
# date = 11/8/2003
# time = 12:30:09 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scanrel s1 4 -4 -.15 preset mcu 2
# builtin_command = scan s1 @(s1)+4 @(s1)+-4 -0.150000
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.007280,-0.005772,0.259630,-0.132677,-0.132684,-0.012771,0.076634,-0.076750,0.002552
# mode = 0
# plane_normal = -0.009826,0.000044,0.999952
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_122137PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    78.5167      0.942      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9976     0.9976    -0.0714    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      2    78.3671      0.964      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9978     0.9978    -0.0688    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      3    78.2165      0.914      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9979     0.9979    -0.0661    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      4    78.0659      0.942      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9981     0.9981    -0.0634    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      5    77.9154      0.948      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9983     0.9983    -0.0607    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      6    77.7657      0.928      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9984     0.9984    -0.0580    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      7    77.6152      0.930      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9986     0.9986    -0.0554    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      8    77.4665      0.943      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9987     0.9987    -0.0527    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      9    77.3150      0.958      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9988     0.9988    -0.0500    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     10    77.1673      0.959      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9990     0.9990    -0.0474    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     11    77.0177      0.946      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9991     0.9991    -0.0447    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     12    76.8661      0.924      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9992     0.9992    -0.0420    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     13    76.7156      0.933      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9993     0.9993    -0.0393    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     14    76.5650      0.910      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9994     0.9994    -0.0366    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     15    76.4144      0.929      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9995     0.9995    -0.0340    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     16    76.2677      0.946      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9996     0.9996    -0.0313    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     17    76.1161      0.940      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9996     0.9996    -0.0286    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
