# scan = 17
# date = 11/8/2003
# time = 12:38:23 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scanrel s1 1 -1 -.1 preset 2
# builtin_command = scan s1 @(s1)+1 @(s1)+-1 -0.100000
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.007280,-0.005772,0.259630,-0.132677,-0.132684,-0.012771,0.076634,-0.076750,0.002552
# mode = 0
# plane_normal = -0.009826,0.000044,0.999952
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_122137PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    75.5640      0.947      0.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9999     0.9999    -0.0188    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      2    75.4665      0.960      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9999     0.9999    -0.0171    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      3    75.3642      0.933      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9999     0.9999    -0.0152    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      4    75.2657      0.943      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9999     0.9999    -0.0135    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      5    75.1654      0.955      1.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0000    -0.0117    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      6    75.0659      0.940      5.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0000    -0.0099    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      7    74.9656      0.963      7.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0000    -0.0081    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      8    74.8652      0.974     35.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0000    -0.0063    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      9    74.7638      0.927     68.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0000    -0.0045    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     10    74.6654      0.933    150.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0000    -0.0028    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     11    74.5650      0.929    144.000   3700.000      1.000    41.2537   -36.6042     0.5630     0.0025     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0000    -0.0010    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
