# scan = 18
# date = 11/8/2003
# time = 12:39:25 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgu -4 4 .4 preset mcu 2
# builtin_command = scan sgu -4 4 .4 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.007280,-0.005772,0.259630,-0.132677,-0.132684,-0.012771,0.076634,-0.076750,0.002552
# mode = 0
# plane_normal = -0.009826,0.000044,0.999952
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_122137PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = sgu
# def_y = detector
# col_headers = 
#   Pt.        sgu       time   detector    monitor        mcu         m2         s1         s2        sgl        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -4.0005      1.893    170.000   7400.000      2.000    41.2537    74.6004   -36.6042     0.5630     0.0000    -0.0010    20.6267    41.2556     1.6694     0.8768     1.1184    -0.0024    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      2    -3.6030      1.889    238.000   7400.000      2.000    41.2537    74.6004   -36.6042     0.5630     0.0000    -0.0010    20.6267    41.2556     1.6694     0.8893     1.1068    -0.0023    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      3    -3.1990      1.856    284.000   7400.000      2.000    41.2537    74.6004   -36.6042     0.5630     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9019     1.0951    -0.0022    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      4    -2.7995      1.919    337.000   7400.000      2.000    41.2537    74.6004   -36.6042     0.5630     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9143     1.0834    -0.0022    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      5    -2.4000      1.846    373.000   7400.000      2.000    41.2537    74.6004   -36.6042     0.5630     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9266     1.0717    -0.0021    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      6    -1.9995      1.858    434.000   7400.000      2.000    41.2537    74.6004   -36.6042     0.5630     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9390     1.0599    -0.0020    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      7    -1.5995      1.851    402.000   7400.000      2.000    41.2537    74.6004   -36.6042     0.5630     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9513     1.0480    -0.0019    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      8    -1.1995      1.872    412.000   7400.000      2.000    41.2537    74.6004   -36.6042     0.5630     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9635     1.0361    -0.0018    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
      9    -0.7995      1.853    420.000   7400.000      2.000    41.2537    74.6004   -36.6042     0.5630     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9757     1.0241    -0.0018    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     10    -0.3995      1.902    358.000   7400.000      2.000    41.2537    74.6004   -36.6042     0.5630     0.0000    -0.0010    20.6267    41.2556     1.6694     0.9879     1.0121    -0.0017    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     11     0.0005      1.881    324.000   7400.000      2.000    41.2537    74.6004   -36.6042     0.5630     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0000     1.0001    -0.0016    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     12     0.4000      1.888    245.000   7400.000      2.000    41.2537    74.5994   -36.6042     0.5630     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0120     0.9880    -0.0015    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
     13     0.8005      1.898    195.000   7400.000      2.000    41.2537    74.5994   -36.6042     0.5630     0.0000    -0.0010    20.6267    41.2556     1.6694     1.0240     0.9758    -0.0015    14.6405    14.6392     0.0013   295.0000     0.0000     0.000
