# scan = 19
# date = 11/8/2003
# time = 2:40:00 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scanrel s1 1 -1 -.1 preset mcu 2
# builtin_command = scan s1 @(s1)+1 @(s1)+-1 -0.100000
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.007487,-0.005979,0.259610,-0.134627,-0.130620,-0.013238,0.073134,-0.080198,0.002206
# mode = 0
# plane_normal = -0.009826,-0.026123,0.999610
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_124214PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1   -34.0167      0.939      0.000   3700.000      1.000    41.2537   -75.8316     0.5630    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667     0.0340     0.0340     1.9997    14.6405    14.6392     0.0013   295.0000   298.2080   299.716
      2   -34.1161      0.946      1.000   3700.000      1.000    41.2537   -75.8316     0.5630    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667     0.0306     0.0306     1.9998    14.6405    14.6392     0.0013   295.0000   298.2290   299.982
      3   -34.2165      0.961      1.000   3700.000      1.000    41.2537   -75.8316     0.5630    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667     0.0272     0.0272     1.9998    14.6405    14.6392     0.0013   295.0000   298.2290   299.982
      4   -34.3159      0.915      1.000   3700.000      1.000    41.2537   -75.8316     0.5630    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667     0.0238     0.0238     1.9999    14.6405    14.6392     0.0013   295.0000   298.2290   299.982
      5   -34.4173      0.938      2.000   3700.000      1.000    41.2537   -75.8316     0.5630    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667     0.0203     0.0203     1.9999    14.6405    14.6392     0.0013   295.0000   298.2290   299.982
      6   -34.5167      0.955      0.000   3700.000      1.000    41.2537   -75.8316     0.5630    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667     0.0169     0.0169     1.9999    14.6405    14.6392     0.0013   295.0000   298.2290   299.982
      7   -34.6161      0.972      3.000   3700.000      1.000    41.2537   -75.8316     0.5630    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667     0.0135     0.0135     2.0000    14.6405    14.6392     0.0013   295.0000   298.2080   299.728
      8   -34.7165      0.955     10.000   3700.000      1.000    41.2537   -75.8316     0.5630    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667     0.0101     0.0101     2.0000    14.6405    14.6392     0.0013   295.0000   298.2080   299.728
      9   -34.8159      0.940     29.000   3700.000      1.000    41.2537   -75.8316     0.5630    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667     0.0067     0.0067     2.0000    14.6405    14.6392     0.0013   295.0000   298.2080   299.728
     10   -34.9173      0.963     40.000   3700.000      1.000    41.2537   -75.8316     0.5630    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667     0.0032     0.0032     2.0000    14.6405    14.6392     0.0013   295.0000   298.2080   299.728
     11   -35.0157      0.962     93.000   3700.000      1.000    41.2537   -75.8316     0.5630    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667    -0.0001    -0.0001     2.0000    14.6405    14.6392     0.0013   295.0000   298.1950   299.792
     12   -35.1161      0.909    104.000   3700.000      1.000    41.2537   -75.8316     0.5630    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667    -0.0036    -0.0036     2.0000    14.6405    14.6392     0.0013   295.0000   298.1950   299.792
