# scan = 20
# date = 11/8/2003
# time = 2:41:37 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgl -3 3 .4 preset mcu 2
# builtin_command = scan sgl -3 3 .4 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.007487,-0.005979,0.259610,-0.134627,-0.130620,-0.013238,0.073134,-0.080198,0.002206
# mode = 0
# plane_normal = -0.009826,-0.026123,0.999610
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_124214PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = sgl
# def_y = detector
# col_headers = 
#   Pt.        sgl       time   detector    monitor        mcu         m2         s1         s2        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -3.0000      1.854      1.000   7400.000      2.000    41.2537   -35.0945   -75.8316    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667    -0.2130     0.2078     1.9962    14.6405    14.6392     0.0013   295.0000   298.1650   299.771
      2    -2.6025      1.881      0.000   7400.000      2.000    41.2537   -35.0945   -75.8316    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667    -0.1896     0.1843     1.9970    14.6405    14.6392     0.0013   295.0000   298.1910   300.367
      3    -2.2000      1.874      0.000   7400.000      2.000    41.2537   -35.0945   -75.8316    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667    -0.1659     0.1605     1.9977    14.6405    14.6392     0.0013   295.0000   298.1910   300.367
      4    -1.7995      1.876      0.000   7400.000      2.000    41.2537   -35.0945   -75.8316    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667    -0.1423     0.1368     1.9983    14.6405    14.6392     0.0013   295.0000   298.3220   303.528
      5    -1.3995      1.896      0.000   7400.000      2.000    41.2537   -35.0945   -75.8316    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667    -0.1187     0.1132     1.9988    14.6405    14.6392     0.0013   295.0000   298.3220   303.528
      6    -0.9995      1.854      4.000   7400.000      2.000    41.2537   -35.0945   -75.8316    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667    -0.0951     0.0895     1.9993    14.6405    14.6392     0.0013   295.0000   298.3220   303.528
      7    -0.5995      1.901     28.000   7400.000      2.000    41.2537   -35.0945   -75.8316    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667    -0.0715     0.0659     1.9996    14.6405    14.6392     0.0013   295.0000   298.2490   302.299
      8    -0.1995      1.894     62.000   7400.000      2.000    41.2537   -35.0945   -75.8316    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667    -0.0479     0.0422     1.9998    14.6405    14.6392     0.0013   295.0000   298.2490   302.299
      9     0.2005      1.899    127.000   7400.000      2.000    41.2537   -35.0945   -75.8316    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667    -0.0242     0.0186     2.0000    14.6405    14.6392     0.0013   295.0000   298.2490   302.299
     10     0.6005      1.900    191.000   7400.000      2.000    41.2537   -35.0945   -75.8316    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667    -0.0006    -0.0050     2.0000    14.6405    14.6392     0.0013   295.0000   298.2140   301.651
     11     1.0005      1.887    260.000   7400.000      2.000    41.2537   -35.0945   -75.8316    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667     0.0230    -0.0287     2.0000    14.6405    14.6392     0.0013   295.0000   298.2140   301.651
     12     1.4005      1.886    279.000   7400.000      2.000    41.2537   -35.0955   -75.8316    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667     0.0466    -0.0523     1.9998    14.6405    14.6392     0.0013   295.0000   298.3130   303.598
     13     1.8000      1.888    257.000   7400.000      2.000    41.2537   -35.0955   -75.8316    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667     0.0703    -0.0759     1.9995    14.6405    14.6392     0.0013   295.0000   298.3130   303.598
     14     2.2005      1.904    174.000   7400.000      2.000    41.2537   -35.0955   -75.8316    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667     0.0939    -0.0995     1.9992    14.6405    14.6392     0.0013   295.0000   298.3130   303.598
     15     2.6005      1.856    104.000   7400.000      2.000    41.2537   -35.0955   -75.8316    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667     0.1176    -0.1231     1.9988    14.6405    14.6392     0.0013   295.0000   298.1390   299.737
     16     3.0000      1.884     34.000   7400.000      2.000    41.2537   -35.0955   -75.8316    -1.4970    -0.0020    -0.0010    20.6267    41.2556     3.2667     0.1412    -0.1467     1.9982    14.6405    14.6392     0.0013   295.0000   298.1390   299.737
# Sum of Counts = 1521
# Center of Mass = 1.297051+/-0.051561
# Full Width Half-Maximum = 1.647974+/-0.050693
# 2:42:40 PM  11/8/2003   scan completed.
