# scan = 22
# date = 11/8/2003
# time = 2:46:23 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgu -4 4 .4 preset mcu 2
# builtin_command = scan sgu -4 4 .4 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.008324,-0.004753,0.259571,-0.134634,-0.130627,-0.012952,0.073030,-0.080267,0.005708
# mode = 0
# plane_normal = -0.023281,-0.026118,0.999388
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_24336PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = sgu
# def_y = detector
# col_headers = 
#   Pt.        sgu       time   detector    monitor        mcu         m2         s1         s2        sgl        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -4.0005      1.923     78.000   7400.000      2.000    41.2537    74.5079   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     0.9235     1.0746    -0.0009    14.6405    14.6392     0.0013   295.0000   298.0820   300.510
      2    -3.6030      1.882    119.000   7400.000      2.000    41.2537    74.5079   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     0.9358     1.0629    -0.0008    14.6405    14.6392     0.0013   295.0000   298.0820   300.510
      3    -3.1995      1.884    173.000   7400.000      2.000    41.2537    74.5079   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     0.9482     1.0510    -0.0006    14.6405    14.6392     0.0013   295.0000   298.0860   300.714
      4    -2.7995      1.899    230.000   7400.000      2.000    41.2537    74.5079   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     0.9604     1.0391    -0.0004    14.6405    14.6392     0.0013   295.0000   298.0860   300.714
      5    -2.4000      1.849    294.000   7400.000      2.000    41.2537    74.5069   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     0.9726     1.0271    -0.0002    14.6405    14.6392     0.0013   295.0000   298.0680   300.496
      6    -1.9995      1.922    341.000   7400.000      2.000    41.2537    74.5069   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     0.9848     1.0151    -0.0000    14.6405    14.6392     0.0013   295.0000   298.0680   300.496
      7    -1.6000      1.883    370.000   7400.000      2.000    41.2537    74.5069   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     0.9969     1.0031     0.0001    14.6405    14.6392     0.0013   295.0000   298.0680   300.496
      8    -1.1995      1.882    454.000   7400.000      2.000    41.2537    74.5069   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     1.0090     0.9910     0.0003    14.6405    14.6392     0.0013   295.0000   298.0430   300.234
      9    -0.8000      1.887    450.000   7400.000      2.000    41.2537    74.5069   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     1.0210     0.9789     0.0005    14.6405    14.6392     0.0013   295.0000   298.0430   300.234
     10    -0.4000      1.869    452.000   7400.000      2.000    41.2537    74.5069   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     1.0329     0.9667     0.0006    14.6405    14.6392     0.0013   295.0000   298.0430   300.234
     11     0.0010      1.913    397.000   7400.000      2.000    41.2537    74.5069   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     1.0449     0.9545     0.0008    14.6405    14.6392     0.0013   295.0000   298.0470   300.166
     12     0.4000      1.895    398.000   7400.000      2.000    41.2537    74.5069   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     1.0567     0.9422     0.0009    14.6405    14.6392     0.0013   295.0000   298.0470   300.166
     13     0.8005      1.883    285.000   7400.000      2.000    41.2537    74.5069   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     1.0685     0.9299     0.0011    14.6405    14.6392     0.0013   295.0000   298.0670   301.098
     14     1.2000      1.868    221.000   7400.000      2.000    41.2537    74.5069   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     1.0803     0.9175     0.0012    14.6405    14.6392     0.0013   295.0000   298.0670   301.098
     15     1.6000      1.893    164.000   7400.000      2.000    41.2537    74.5069   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     1.0920     0.9051     0.0014    14.6405    14.6392     0.0013   295.0000   298.0670   301.098
     16     2.0005      1.890    133.000   7400.000      2.000    41.2537    74.5069   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     1.1037     0.8926     0.0015    14.6405    14.6392     0.0013   295.0000   298.0280   300.170
     17     2.4000      1.876     74.000   7400.000      2.000    41.2537    74.5069   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     1.1153     0.8802     0.0017    14.6405    14.6392     0.0013   295.0000   298.0280   300.170
     18     2.8005      1.879     31.000   7400.000      2.000    41.2537    74.5069   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     1.1268     0.8676     0.0018    14.6405    14.6392     0.0013   295.0000   298.0280   300.170
     19     3.2000      1.841      9.000   7400.000      2.000    41.2537    74.5069   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     1.1383     0.8550     0.0020    14.6405    14.6392     0.0013   295.0000   298.0460   300.741
     20     3.6005      1.879      3.000   7400.000      2.000    41.2537    74.5069   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     1.1497     0.8424     0.0021    14.6405    14.6392     0.0013   295.0000   298.0460   300.741
     21     4.0005      1.853      0.000   7400.000      2.000    41.2537    74.5069   -36.6032     1.3340    -0.0020    -0.0010    20.6267    41.2556     1.6693     1.1611     0.8297     0.0022    14.6405    14.6392     0.0013   295.0000   298.0220   300.249
# Sum of Counts = 4676
# Center of Mass = -0.752261+/-0.027343
# Full Width Half-Maximum = 3.075202+/-0.043221
# 2:47:46 PM  11/8/2003   scan completed.
