# scan = 23
# date = 11/8/2003
# time = 9:48:29 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 1.96 2.04 .005 k 1.96 2.04 .005 l 0 preset 1
# builtin_command = scan h 1.96 2.04 .005 k 1.96 2.04 .005 l 0 preset 1
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 220 L
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.008315,-0.004833,0.259571,-0.133762,-0.131562,-0.012952,0.074615,-0.078721,0.005708
# mode = 0
# plane_normal = -0.022699,-0.014345,0.999639
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_24818PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 1.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     1.9601     1.9599    -0.0001      0.950      0.000   3700.000      1.000    41.2537    54.8504   -75.9743     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.2720    14.6405    14.6392     0.0013   295.0000     9.7379     9.525
      2     1.9652     1.9650    -0.0001      0.937      1.000   3700.000      1.000    41.2537    54.7362   -76.2036     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.2803    14.6405    14.6392     0.0013   295.0000     9.7379     9.525
      3     1.9701     1.9699     0.0000      0.936      6.000   3700.000      1.000    41.2537    54.6220   -76.4280     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.2885    14.6405    14.6392     0.0013   295.0000     9.7379     9.525
      4     1.9751     1.9749    -0.0000      0.934     32.000   3700.000      1.000    41.2537    54.5069   -76.6593     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.2969    14.6405    14.6392     0.0013   295.0000     9.7458     9.550
      5     1.9801     1.9799     0.0000      0.949    108.000   3700.000      1.000    41.2537    54.3917   -76.8877     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3052    14.6405    14.6392     0.0013   295.0000     9.7458     9.550
      6     1.9851     1.9849     0.0000      0.951    139.000   3700.000      1.000    41.2537    54.2766   -77.1170     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3136    14.6405    14.6392     0.0013   295.0000     9.7458     9.550
      7     1.9901     1.9899    -0.0000      0.937    180.000   3700.000      1.000    41.2537    54.1624   -77.3483     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3220    14.6405    14.6392     0.0013   295.0000     9.7353     9.504
      8     1.9951     1.9949     0.0000      0.954    232.000   3700.000      1.000    41.2537    54.0472   -77.5776     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3303    14.6405    14.6392     0.0013   295.0000     9.7353     9.504
      9     2.0001     1.9999    -0.0000      0.958    166.000   3700.000      1.000    41.2537    53.9311   -77.8109     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3387    14.6405    14.6392     0.0013   295.0000     9.7353     9.504
     10     2.0051     2.0049     0.0000      0.930     98.000   3700.000      1.000    41.2537    53.8150   -78.0402     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3470    14.6405    14.6392     0.0013   295.0000     9.6767     9.473
     11     2.0101     2.0099     0.0000      0.952     46.000   3700.000      1.000    41.2537    53.6988   -78.2745     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3554    14.6405    14.6392     0.0013   295.0000     9.6767     9.473
     12     2.0151     2.0149     0.0000      0.952      5.000   3700.000      1.000    41.2537    53.5827   -78.5058     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3637    14.6405    14.6392     0.0013   295.0000     9.6767     9.473
     13     2.0201     2.0199    -0.0000      0.918      0.000   3700.000      1.000    41.2537    53.4675   -78.7391     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3721    14.6405    14.6392     0.0013   295.0000     9.6767     9.473
     14     2.0251     2.0249     0.0000      0.921      0.000   3700.000      1.000    41.2537    53.3514   -78.9694     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3803    14.6405    14.6392     0.0013   295.0000     9.7404     9.473
     15     2.0302     2.0299    -0.0001      0.937      0.000   3700.000      1.000    41.2537    53.2352   -79.2066     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3888    14.6405    14.6392     0.0013   295.0000     9.7404     9.473
     16     2.0351     2.0349    -0.0000      0.920      0.000   3700.000      1.000    41.2537    53.1181   -79.4369     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3970    14.6405    14.6392     0.0013   295.0000     9.7404     9.473
     17     2.0401     2.0399     0.0000      0.934      0.000   3700.000      1.000    41.2537    53.0000   -79.6721     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.4054    14.6405    14.6392     0.0013   295.0000     9.7356     9.511
# Sum of Counts = 1013
# Center of Mass = 1.992997+/-0.088556
# Full Width Half-Maximum = 0.017990+/-0.052987
# 9:49:35 PM  11/8/2003   scan completed.
