# scan = 24
# date = 11/8/2003
# time = 9:50:44 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan s1 55 53 -.1 preset mcu 2
# builtin_command = scan s1 55 53 -.1 preset mcu 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 220 L
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.008315,-0.004833,0.259571,-0.133762,-0.131562,-0.012952,0.074615,-0.078721,0.005708
# mode = 0
# plane_normal = -0.022699,-0.014345,0.999639
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_24818PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    54.9990      1.882      1.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9929     1.9927    -0.0323    14.6405    14.6392     0.0013   295.0000     9.7187     9.491
      2    54.9006      1.871      2.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9929     1.9927    -0.0288    14.6405    14.6392     0.0013   295.0000     9.7187     9.491
      3    54.8012      1.842      0.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9930     1.9928    -0.0252    14.6405    14.6392     0.0013   295.0000     9.7187     9.491
      4    54.7008      1.864      4.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9930     1.9928    -0.0217    14.6405    14.6392     0.0013   295.0000     9.7195     9.499
      5    54.6004      1.876      5.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9931     1.9929    -0.0181    14.6405    14.6392     0.0013   295.0000     9.7195     9.499
      6    54.5010      1.859     19.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9931     1.9929    -0.0146    14.6405    14.6392     0.0013   295.0000     9.7195     9.499
      7    54.4006      1.913     61.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9931     1.9929    -0.0110    14.6405    14.6392     0.0013   295.0000     9.7224     9.497
      8    54.3012      1.896    134.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9931     1.9929    -0.0075    14.6405    14.6392     0.0013   295.0000     9.7224     9.497
      9    54.2018      1.861    291.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9931     1.9929    -0.0039    14.6405    14.6392     0.0013   295.0000     9.7224     9.497
     10    54.1004      1.916    423.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9931     1.9929    -0.0003    14.6405    14.6392     0.0013   295.0000     9.7134     9.431
     11    54.0000      1.915    297.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9931     1.9929     0.0032    14.6405    14.6392     0.0013   295.0000     9.7134     9.431
     12    53.9006      1.862    109.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9931     1.9929     0.0068    14.6405    14.6392     0.0013   295.0000     9.7134     9.431
     13    53.8012      1.897     35.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9931     1.9929     0.0103    14.6405    14.6392     0.0013   295.0000     9.7134     9.431
     14    53.7008      1.916      6.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9931     1.9929     0.0139    14.6405    14.6392     0.0013   295.0000     9.7085     9.435
     15    53.5984      1.932      3.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9931     1.9929     0.0175    14.6405    14.6392     0.0013   295.0000     9.7085     9.435
     16    53.5000      1.897      0.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9930     1.9928     0.0210    14.6405    14.6392     0.0013   295.0000     9.7085     9.435
     17    53.4006      1.904      0.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9930     1.9928     0.0246    14.6405    14.6392     0.0013   295.0000     9.7080     9.493
     18    53.3022      1.898      0.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9930     1.9928     0.0281    14.6405    14.6392     0.0013   295.0000     9.7080     9.493
     19    53.2008      1.917      0.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9929     1.9927     0.0317    14.6405    14.6392     0.0013   295.0000     9.7080     9.493
     20    53.0994      1.864      0.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9928     1.9926     0.0353    14.6405    14.6392     0.0013   295.0000     9.6956     9.470
     21    53.0020      1.855      0.000   7400.000      2.000    41.2537   -77.4891     1.3005    -0.8205    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9928     1.9926     0.0387    14.6405    14.6392     0.0013   295.0000     9.6956     9.470
# Sum of Counts = 1390
# Center of Mass = 54.117498+/-2.052798
# Full Width Half-Maximum = 0.310523+/-1.130941
# 9:51:48 PM  11/8/2003   scan completed.
