# scan = 25
# date = 11/8/2003
# time = 9:52:18 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgu -4 3.4 .4 preset 2
# builtin_command = scan sgu -4 3.4 .4 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 220 L
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.527800,7.527800,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.008315,-0.004833,0.259571,-0.133762,-0.131562,-0.012952,0.074615,-0.078721,0.005708
# mode = 0
# plane_normal = -0.022699,-0.014345,0.999639
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_24818PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = sgu
# def_y = detector
# col_headers = 
#   Pt.        sgu       time   detector    monitor        mcu         m2         s1         s2        sgl        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -4.0000      1.910      3.000   7400.000      2.000    41.2537    54.1112   -77.4891     1.3005    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.7989     2.1811    -0.0034    14.6405    14.6392     0.0013   295.0000     9.6657     9.424
      2    -3.6030      1.887     14.000   7400.000      2.000    41.2537    54.1112   -77.4891     1.3005    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.8235     2.1579    -0.0031    14.6405    14.6392     0.0013   295.0000     9.6657     9.424
      3    -3.1995      1.902     97.000   7400.000      2.000    41.2537    54.1112   -77.4891     1.3005    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.8484     2.1343    -0.0027    14.6405    14.6392     0.0013   295.0000     9.6657     9.424
      4    -2.7995      1.859    226.000   7400.000      2.000    41.2537    54.1112   -77.4891     1.3005    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.8729     2.1108    -0.0024    14.6405    14.6392     0.0013   295.0000     9.6582     9.417
      5    -2.4000      1.863    343.000   7400.000      2.000    41.2537    54.1112   -77.4891     1.3005    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.8974     2.0872    -0.0020    14.6405    14.6392     0.0013   295.0000     9.6582     9.417
      6    -1.9995      1.888    446.000   7400.000      2.000    41.2537    54.1102   -77.4891     1.3005    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9218     2.0635    -0.0016    14.6405    14.6392     0.0013   295.0000     9.6582     9.417
      7    -1.6000      1.899    490.000   7400.000      2.000    41.2537    54.1102   -77.4891     1.3005    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9461     2.0397    -0.0013    14.6405    14.6392     0.0013   295.0000     9.6573     9.417
      8    -1.1995      1.891    480.000   7400.000      2.000    41.2537    54.1102   -77.4891     1.3005    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9703     2.0157    -0.0010    14.6405    14.6392     0.0013   295.0000     9.6573     9.417
      9    -0.7995      1.886    380.000   7400.000      2.000    41.2537    54.1102   -77.4891     1.3005    -0.0020    -0.0010    20.6267    41.2556     3.3271     1.9944     1.9917    -0.0007    14.6405    14.6392     0.0013   295.0000     9.6579     9.449
     10    -0.4000      1.885    231.000   7400.000      2.000    41.2537    54.1102   -77.4891     1.3005    -0.0020    -0.0010    20.6267    41.2556     3.3271     2.0184     1.9676    -0.0003    14.6405    14.6392     0.0013   295.0000     9.6579     9.449
