# scan = 27
# date = 11/8/2003
# time = 9:59:32 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan s1 -34 -36 -.1 preset 2
# builtin_command = scan s1 -34 -36 -.1 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 002 L
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.008296,-0.004728,0.259571,-0.134253,-0.130079,-0.012952,0.072617,-0.080144,0.005708
# mode = 0
# plane_normal = -0.023339,-0.027306,0.999354
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_95609PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu         m2         s2        sgl        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1   -34.0010      1.932      2.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659     0.0370     0.0374     1.9992    14.6405    14.6392     0.0013   295.0000     9.8165     9.479
      2   -34.0984      1.834      7.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659     0.0337     0.0340     1.9992    14.6405    14.6392     0.0013   295.0000     9.8165     9.479
      3   -34.2008      1.902      7.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659     0.0302     0.0305     1.9993    14.6405    14.6392     0.0013   295.0000     9.8165     9.479
      4   -34.2992      1.869     16.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659     0.0268     0.0271     1.9993    14.6405    14.6392     0.0013   295.0000     9.8166     9.481
      5   -34.4006      1.893     31.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659     0.0233     0.0237     1.9994    14.6405    14.6392     0.0013   295.0000     9.8166     9.481
      6   -34.5000      1.887     49.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659     0.0199     0.0203     1.9994    14.6405    14.6392     0.0013   295.0000     9.8166     9.481
      7   -34.6004      1.883     75.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659     0.0165     0.0168     1.9995    14.6405    14.6392     0.0013   295.0000     9.8193     9.482
      8   -34.6998      1.911    127.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659     0.0131     0.0134     1.9995    14.6405    14.6392     0.0013   295.0000     9.8193     9.482
      9   -34.7982      1.842    324.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659     0.0097     0.0100     1.9995    14.6405    14.6392     0.0013   295.0000     9.8193     9.482
     10   -34.8996      1.884    757.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659     0.0062     0.0066     1.9995    14.6405    14.6392     0.0013   295.0000     9.8193     9.482
     11   -35.0000      1.880   1324.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659     0.0028     0.0031     1.9995    14.6405    14.6392     0.0013   295.0000     9.8146     9.483
     12   -35.0994      1.851   1360.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.0006    -0.0003     1.9995    14.6405    14.6392     0.0013   295.0000     9.8146     9.483
     13   -35.2008      1.869   1186.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.0041    -0.0037     1.9995    14.6405    14.6392     0.0013   295.0000     9.8146     9.483
     14   -35.2992      1.835    594.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.0075    -0.0071     1.9995    14.6405    14.6392     0.0013   295.0000     9.8144     9.520
     15   -35.3996      1.881    219.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.0109    -0.0106     1.9995    14.6405    14.6392     0.0013   295.0000     9.8144     9.520
     16   -35.5000      1.877     78.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.0144    -0.0140     1.9995    14.6405    14.6392     0.0013   295.0000     9.8144     9.520
     17   -35.5994      1.878     28.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.0178    -0.0174     1.9994    14.6405    14.6392     0.0013   295.0000     9.8169     9.485
     18   -35.6998      1.851     11.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.0212    -0.0208     1.9994    14.6405    14.6392     0.0013   295.0000     9.8169     9.485
     19   -35.7992      1.848      6.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.0246    -0.0243     1.9994    14.6405    14.6392     0.0013   295.0000     9.8169     9.485
     20   -35.8996      1.903      4.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.0280    -0.0277     1.9993    14.6405    14.6392     0.0013   295.0000     9.8200     9.522
     21   -35.9990      1.834      1.000   7400.000      2.000    41.2537   -75.8099     1.3345    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.0314    -0.0311     1.9993    14.6405    14.6392     0.0013   295.0000     9.8200     9.522
# Sum of Counts = 6206
# Center of Mass = -35.069894+/-0.629574
# Full Width Half-Maximum = 0.401213+/-0.301346
# 10:00:38 PM  11/8/2003   scan completed.
