# scan = 28
# date = 11/8/2003
# time = 10:01:22 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan sgl -3 5 .4 preset 2
# builtin_command = scan sgl -3 5 .4 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 002 L
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.846800,90.000000,90.000000,120.000000
# ubmatrix = -0.008296,-0.004728,0.259571,-0.134253,-0.130079,-0.012952,0.072617,-0.080144,0.005708
# mode = 0
# plane_normal = -0.023339,-0.027306,0.999354
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_95609PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = sgl
# def_y = detector
# col_headers = 
#   Pt.        sgl       time   detector    monitor        mcu         m2         s1         s2        sgu        stl        stu         a1         a2          q          h          k          l         ei         ef          e       temp    coldtip    tsample
      1    -2.9975      1.883      0.000   7400.000      2.000    41.2537   -35.0807   -75.8099    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.2563     0.2572     1.9938    14.6405    14.6392     0.0013   295.0000     9.8278     9.492
      2    -2.6025      1.887      0.000   7400.000      2.000    41.2537   -35.0807   -75.8099    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.2329     0.2338     1.9948    14.6405    14.6392     0.0013   295.0000     9.8278     9.492
      3    -2.1995      1.900      0.000   7400.000      2.000    41.2537   -35.0807   -75.8099    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.2092     0.2099     1.9957    14.6405    14.6392     0.0013   295.0000     9.8310     9.519
      4    -1.7995      1.896      0.000   7400.000      2.000    41.2537   -35.0807   -75.8099    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.1855     0.1862     1.9965    14.6405    14.6392     0.0013   295.0000     9.8310     9.519
      5    -1.3995      1.854      5.000   7400.000      2.000    41.2537   -35.0807   -75.8099    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.1619     0.1625     1.9973    14.6405    14.6392     0.0013   295.0000     9.8630     9.987
      6    -0.9995      1.871     17.000   7400.000      2.000    41.2537   -35.0807   -75.8099    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.1382     0.1388     1.9979    14.6405    14.6392     0.0013   295.0000     9.8630     9.987
      7    -0.5995      1.863    145.000   7400.000      2.000    41.2537   -35.0807   -75.8099    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.1146     0.1150     1.9984    14.6405    14.6392     0.0013   295.0000     9.8630     9.987
      8    -0.1995      1.862    381.000   7400.000      2.000    41.2537   -35.0807   -75.8099    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.0909     0.0913     1.9988    14.6405    14.6392     0.0013   295.0000     9.8524     9.750
      9     0.2000      1.913    817.000   7400.000      2.000    41.2537   -35.0807   -75.8099    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.0672     0.0676     1.9991    14.6405    14.6392     0.0013   295.0000     9.8524     9.750
     10     0.6005      1.900   1183.000   7400.000      2.000    41.2537   -35.0807   -75.8099    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.0435     0.0439     1.9994    14.6405    14.6392     0.0013   295.0000     9.8524     9.750
     11     1.0005      1.855   1331.000   7400.000      2.000    41.2537   -35.0807   -75.8099    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    -0.0198     0.0202     1.9995    14.6405    14.6392     0.0013   295.0000     9.8584     9.724
     12     1.4005      1.874   1388.000   7400.000      2.000    41.2537   -35.0807   -75.8099    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659     0.0039    -0.0035     1.9995    14.6405    14.6392     0.0013   295.0000     9.8584     9.724
