# scan = 29
# date = 11/8/2003
# time = 10:06:36 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 0 k 0 l 1.96 2.04 .005 preset 2
# builtin_command = scan h 0 k 0 l 1.96 2.04 .005 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 002 L
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = l
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.0000     0.0000     1.9600      1.860      0.000   7400.000      2.000    41.2537   -34.1919   -74.0383     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2007    14.6405    14.6392     0.0013   295.0000     9.8217     9.479
      2     0.0001     0.0001     1.9650      1.901      0.000   7400.000      2.000    41.2537   -34.3002   -74.2578     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2088    14.6405    14.6392     0.0013   295.0000     9.8280     9.544
      3    -0.0000    -0.0000     1.9700      1.891      2.000   7400.000      2.000    41.2537   -34.4124   -74.4763     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2169    14.6405    14.6392     0.0013   295.0000     9.8280     9.544
      4     0.0001     0.0001     1.9750      1.880     25.000   7400.000      2.000    41.2537   -34.5217   -74.7007     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2252    14.6405    14.6392     0.0013   295.0000     9.8316     9.563
      5    -0.0000    -0.0000     1.9800      1.836    171.000   7400.000      2.000    41.2537   -34.6329   -74.9192     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2332    14.6405    14.6392     0.0013   295.0000     9.8316     9.563
      6     0.0000     0.0000     1.9850      1.891    543.000   7400.000      2.000    41.2537   -34.7441   -75.1426     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2415    14.6405    14.6392     0.0013   295.0000     9.8316     9.563
      7     0.0000     0.0000     1.9900      1.883   1007.000   7400.000      2.000    41.2537   -34.8553   -75.3650     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2496    14.6405    14.6392     0.0013   295.0000     9.8204     9.505
      8     0.0000     0.0000     1.9950      1.865   1298.000   7400.000      2.000    41.2537   -34.9656   -75.5875     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2578    14.6405    14.6392     0.0013   295.0000     9.8204     9.505
      9     0.0000     0.0000     2.0000      1.889   1408.000   7400.000      2.000    41.2537   -35.0778   -75.8099     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2659    14.6405    14.6392     0.0013   295.0000     9.8204     9.505
     10     0.0000     0.0000     2.0050      1.872   1298.000   7400.000      2.000    41.2537   -35.1890   -76.0343     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2741    14.6405    14.6392     0.0013   295.0000     9.8224     9.488
     11     0.0000     0.0000     2.0101      1.858   1002.000   7400.000      2.000    41.2537   -35.3022   -76.2597     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2824    14.6405    14.6392     0.0013   295.0000     9.8224     9.488
     12     0.0000     0.0000     2.0150      1.909    540.000   7400.000      2.000    41.2537   -35.4124   -76.4792     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2904    14.6405    14.6392     0.0013   295.0000     9.8374     9.575
     13     0.0000     0.0000     2.0200      1.882    133.000   7400.000      2.000    41.2537   -35.5246   -76.7056     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2986    14.6405    14.6392     0.0013   295.0000     9.8374     9.575
     14    -0.0000    -0.0000     2.0250      1.869     17.000   7400.000      2.000    41.2537   -35.6378   -76.9290     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3067    14.6405    14.6392     0.0013   295.0000     9.8374     9.575
     15     0.0000     0.0000     2.0300      1.868      1.000   7400.000      2.000    41.2537   -35.7490   -77.1554     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3150    14.6405    14.6392     0.0013   295.0000     9.8259     9.532
     16     0.0000     0.0000     2.0350      1.881      3.000   7400.000      2.000    41.2537   -35.8622   -77.3798     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3231    14.6405    14.6392     0.0013   295.0000     9.8259     9.532
     17    -0.0000    -0.0000     2.0400      1.865      0.000   7400.000      2.000    41.2537   -35.9764   -77.6052     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3313    14.6405    14.6392     0.0013   295.0000     9.8259     9.532
# Sum of Counts = 7448
# Center of Mass = 1.999882+/-0.032772
# Full Width Half-Maximum = 0.018907+/-0.019515
# 10:07:44 PM  11/8/2003   scan completed.
