# scan = 30
# date = 11/8/2003
# time = 10:07:45 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h -.025 .025 .0025 k -.025 .025 .0025 l 2 preset 2
# builtin_command = scan h -.025 .025 .0025 k -.025 .025 .0025 l 2 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 002 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1    -0.0248    -0.0248     2.0000      1.885      2.000   7400.000      2.000    41.2537   -35.8051   -75.8188     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2663    14.6405    14.6392     0.0013   295.0000     9.8269     9.552
      2    -0.0223    -0.0223     2.0001      1.876      6.000   7400.000      2.000    41.2537   -35.7343   -75.8188     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2663    14.6405    14.6392     0.0013   295.0000     9.8275     9.500
      3    -0.0199    -0.0199     2.0001      1.873     16.000   7400.000      2.000    41.2537   -35.6634   -75.8188     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2663    14.6405    14.6392     0.0013   295.0000     9.8275     9.500
      4    -0.0174    -0.0174     2.0001      1.897     35.000   7400.000      2.000    41.2537   -35.5896   -75.8188     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2663    14.6405    14.6392     0.0013   295.0000     9.8275     9.500
      5    -0.0149    -0.0149     2.0001      1.882     61.000   7400.000      2.000    41.2537   -35.5167   -75.8188     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2663    14.6405    14.6392     0.0013   295.0000     9.8235     9.489
      6    -0.0124    -0.0124     2.0001      1.877    166.000   7400.000      2.000    41.2537   -35.4429   -75.8188     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2663    14.6405    14.6392     0.0013   295.0000     9.8235     9.489
      7    -0.0099    -0.0099     2.0002      1.884    366.000   7400.000      2.000    41.2537   -35.3701   -75.8188     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2663    14.6405    14.6392     0.0013   295.0000     9.8235     9.489
      8    -0.0075    -0.0075     2.0000      1.894    646.000   7400.000      2.000    41.2537   -35.2972   -75.8119     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2660    14.6405    14.6392     0.0013   295.0000     9.8391     9.533
      9    -0.0050    -0.0050     2.0000      1.880   1036.000   7400.000      2.000    41.2537   -35.2234   -75.8119     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2660    14.6405    14.6392     0.0013   295.0000     9.8391     9.533
     10    -0.0025    -0.0025     2.0000      1.898   1376.000   7400.000      2.000    41.2537   -35.1516   -75.8119     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.2660    14.6405    14.6392     0.0013   295.0000     9.8178     9.495
