# scan = 32
# date = 11/8/2003
# time = 10:10:46 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 2 k 2 l -.025 .025 .0025 preset 2
# builtin_command = scan h 2 k 2 l -.025 .025 .0025 preset 2
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 220 T
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 2.000000
# def_x = l
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     2.0001     1.9999    -0.0250      1.876      6.000   7400.000      2.000    41.2537    54.7805   -77.4979     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3274    14.6405    14.6392     0.0013   295.0000     9.7952     9.514
      2     2.0001     2.0000    -0.0226      1.915      5.000   7400.000      2.000    41.2537    54.7136   -77.4979     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3274    14.6405    14.6392     0.0013   295.0000     9.7978     9.501
      3     2.0002     2.0000    -0.0201      1.879      2.000   7400.000      2.000    41.2537    54.6427   -77.4979     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3274    14.6405    14.6392     0.0013   295.0000     9.7978     9.501
      4     2.0002     2.0000    -0.0176      1.868      9.000   7400.000      2.000    41.2537    54.5728   -77.4979     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3274    14.6405    14.6392     0.0013   295.0000     9.7978     9.501
      5     2.0002     2.0000    -0.0151      1.873     20.000   7400.000      2.000    41.2537    54.5039   -77.4979     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3274    14.6405    14.6392     0.0013   295.0000     9.7969     9.502
      6     2.0002     2.0001    -0.0126      1.899     26.000   7400.000      2.000    41.2537    54.4331   -77.4979     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3274    14.6405    14.6392     0.0013   295.0000     9.7969     9.502
      7     2.0002     2.0001    -0.0101      1.889     85.000   7400.000      2.000    41.2537    54.3632   -77.4979     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3274    14.6405    14.6392     0.0013   295.0000     9.7969     9.502
      8     2.0001     2.0000    -0.0075      1.905    197.000   7400.000      2.000    41.2537    54.2923   -77.4920     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3272    14.6405    14.6392     0.0013   295.0000     9.7959     9.550
      9     2.0001     2.0000    -0.0051      1.897    323.000   7400.000      2.000    41.2537    54.2244   -77.4920     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3272    14.6405    14.6392     0.0013   295.0000     9.7959     9.550
     10     2.0001     2.0000    -0.0026      1.918    471.000   7400.000      2.000    41.2537    54.1535   -77.4920     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3272    14.6405    14.6392     0.0013   295.0000     9.7959     9.550
     11     2.0001     2.0000    -0.0000      1.849    528.000   7400.000      2.000    41.2537    54.0817   -77.4920     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3272    14.6405    14.6392     0.0013   295.0000     9.8038     9.497
     12     2.0001     2.0000     0.0025      1.853    445.000   7400.000      2.000    41.2537    54.0118   -77.4920     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3272    14.6405    14.6392     0.0013   295.0000     9.8038     9.497
     13     2.0001     2.0000     0.0050      1.909    297.000   7400.000      2.000    41.2537    53.9419   -77.4920     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3272    14.6405    14.6392     0.0013   295.0000     9.8038     9.497
     14     2.0001     2.0000     0.0074      1.867    142.000   7400.000      2.000    41.2537    53.8720   -77.4920     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3272    14.6405    14.6392     0.0013   295.0000     9.8006     9.541
     15     2.0001     1.9999     0.0100      1.888     64.000   7400.000      2.000    41.2537    53.8012   -77.4920     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3272    14.6405    14.6392     0.0013   295.0000     9.8006     9.541
     16     2.0001     1.9999     0.0124      1.897     27.000   7400.000      2.000    41.2537    53.7313   -77.4920     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3272    14.6405    14.6392     0.0013   295.0000     9.8006     9.541
     17     2.0001     1.9999     0.0150      1.892     14.000   7400.000      2.000    41.2537    53.6594   -77.4920     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3272    14.6405    14.6392     0.0013   295.0000     9.8043     9.551
     18     2.0001     1.9999     0.0175      1.916      6.000   7400.000      2.000    41.2537    53.5896   -77.4920     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3272    14.6405    14.6392     0.0013   295.0000     9.8043     9.551
     19     2.0000     1.9999     0.0200      1.850      3.000   7400.000      2.000    41.2537    53.5177   -77.4920     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3272    14.6405    14.6392     0.0013   295.0000     9.8043     9.551
     20     2.0000     1.9998     0.0226      1.915      1.000   7400.000      2.000    41.2537    53.4469   -77.4920     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3272    14.6405    14.6392     0.0013   295.0000     9.8080     9.499
     21     2.0000     1.9998     0.0251      1.865      0.000   7400.000      2.000    41.2537    53.3760   -77.4920     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     3.3272    14.6405    14.6392     0.0013   295.0000     9.8080     9.499
# Sum of Counts = 2671
# Center of Mass = -0.000479+/-0.000110
# Full Width Half-Maximum = 0.011252+/-0.000259
# 10:11:58 PM  11/8/2003   scan completed.
