# scan = 33
# date = 11/8/2003
# time = 10:19:35 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 0.3 2.08 .005 k 0.3 2.08 .005 l 0.3 2.08 .005 preset mcu 6
# builtin_command = scan h 0.3 2.08 .005 k 0.3 2.08 .005 l 0.3 2.08 .005 preset mcu 6
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = hhh scan
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 6.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.3001     0.3000     0.3000      5.652      1.000  22200.000      6.000    41.2537    40.7943   -15.1200     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.6994    14.6405    14.6392     0.0013   295.0000     9.7978     9.513
      2     0.3050     0.3050     0.3050      5.677      1.000  22200.000      6.000    41.2537    40.6644   -15.3709     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.7109    14.6405    14.6392     0.0013   295.0000     9.7350     9.519
      3     0.3100     0.3100     0.3100      5.705      1.000  22200.000      6.000    41.2537    40.5374   -15.6249     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.7226    14.6405    14.6392     0.0013   295.0000     9.8023     9.542
      4     0.3150     0.3150     0.3150      5.676      3.000  22200.000      6.000    41.2537    40.4114   -15.8778     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.7342    14.6405    14.6392     0.0013   295.0000     9.7329     9.493
      5     0.3201     0.3201     0.3200      5.652      1.000  22200.000      6.000    41.2537    40.2854   -16.1357     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.7461    14.6405    14.6392     0.0013   295.0000     9.7329     9.493
      6     0.3250     0.3250     0.3250      5.671      1.000  22200.000      6.000    41.2537    40.1565   -16.3867     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.7576    14.6405    14.6392     0.0013   295.0000     9.8010     9.508
      7     0.3300     0.3300     0.3300      5.631      2.000  22200.000      6.000    41.2537    40.0315   -16.6396     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.7692    14.6405    14.6392     0.0013   295.0000     9.7297     9.489
      8     0.3350     0.3350     0.3350      5.528      2.000  22200.000      6.000    41.2537    39.9055   -16.8936     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.7809    14.6405    14.6392     0.0013   295.0000     9.8037     9.502
      9     0.3400     0.3400     0.3400      5.662      1.000  22200.000      6.000    41.2537    39.7766   -17.1475     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.7925    14.6405    14.6392     0.0013   295.0000     9.8037     9.502
     10     0.3450     0.3450     0.3450      5.627      1.000  22200.000      6.000    41.2537    39.6506   -17.4015     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.8042    14.6405    14.6392     0.0013   295.0000     9.7353     9.533
     11     0.3500     0.3500     0.3500      5.667      2.000  22200.000      6.000    41.2537    39.5236   -17.6564     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.8159    14.6405    14.6392     0.0013   295.0000     9.8009     9.549
     12     0.3550     0.3549     0.3550      5.602      0.000  22200.000      6.000    41.2537    39.3957   -17.9093     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.8275    14.6405    14.6392     0.0013   295.0000     9.7331     9.525
     13     0.3600     0.3600     0.3600      5.637      2.000  22200.000      6.000    41.2537    39.2707   -18.1662     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.8392    14.6405    14.6392     0.0013   295.0000     9.7954     9.523
     14     0.3650     0.3650     0.3650      5.641      0.000  22200.000      6.000    41.2537    39.1427   -18.4202     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.8509    14.6405    14.6392     0.0013   295.0000     9.7954     9.523
     15     0.3700     0.3700     0.3700      5.610      3.000  22200.000      6.000    41.2537    39.0157   -18.6751     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.8625    14.6405    14.6392     0.0013   295.0000     9.7251     9.478
     16     0.3749     0.3749     0.3750      5.606      0.000  22200.000      6.000    41.2537    38.8878   -18.9261     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.8740    14.6405    14.6392     0.0013   295.0000     9.7981     9.498
     17     0.3800     0.3800     0.3800      5.610      0.000  22200.000      6.000    41.2537    38.7589   -19.1849     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.8859    14.6405    14.6392     0.0013   295.0000     9.7367     9.524
     18     0.3850     0.3850     0.3850      5.684      0.000  22200.000      6.000    41.2537    38.6329   -19.4379     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.8974    14.6405    14.6392     0.0013   295.0000     9.7367     9.524
     19     0.3900     0.3900     0.3900      5.603      2.000  22200.000      6.000    41.2537    38.5059   -19.6938     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.9091    14.6405    14.6392     0.0013   295.0000     9.8047     9.515
     20     0.3950     0.3950     0.3950      5.634      2.000  22200.000      6.000    41.2537    38.3770   -19.9487     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.9208    14.6405    14.6392     0.0013   295.0000     9.7418     9.497
     21     0.4000     0.4000     0.4000      5.645      0.000  22200.000      6.000    41.2537    38.2510   -20.2036     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.9324    14.6405    14.6392     0.0013   295.0000     9.7459     9.525
     22     0.4050     0.4050     0.4050      5.633      0.000  22200.000      6.000    41.2537    38.1250   -20.4576     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.9440    14.6405    14.6392     0.0013   295.0000     9.7459     9.525
     23     0.4100     0.4100     0.4100      5.635      2.000  22200.000      6.000    41.2537    37.9970   -20.7154     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.9558    14.6405    14.6392     0.0013   295.0000     9.8124     9.562
