# scan = 34
# date = 11/8/2003
# time = 11:06:04 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 0.3 2.07 .005 k 0.3 2.07 .005 l 0 preset 6
# builtin_command = scan h 0.3 2.07 .005 k 0.3 2.07 .005 l 0 preset 6
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = hh0 scan
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 6.000000
# def_x = h
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.3000     0.3000     0.0000      5.645      5.000  22200.000      6.000    41.2537    87.4193   -10.7735     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.4991    14.6405    14.6392     0.0013   295.0000     9.7836     9.543
      2     0.3050     0.3049     0.0000      5.617      2.000  22200.000      6.000    41.2537    87.3386   -10.9517     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5073    14.6405    14.6392     0.0013   295.0000     9.7816     9.543
      3     0.3100     0.3100    -0.0000      5.718      6.000  22200.000      6.000    41.2537    87.2530   -11.1337     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5157    14.6405    14.6392     0.0013   295.0000     9.7817     9.538
      4     0.3150     0.3150    -0.0000      5.690      4.000  22200.000      6.000    41.2537    87.1624   -11.3139     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5240    14.6405    14.6392     0.0013   295.0000     9.7817     9.538
      5     0.3200     0.3200     0.0000      5.699      9.000  22200.000      6.000    41.2537    87.0689   -11.4930     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5323    14.6405    14.6392     0.0013   295.0000     9.7133     9.547
      6     0.3250     0.3250     0.0000      5.616      7.000  22200.000      6.000    41.2537    86.9793   -11.6751     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5407    14.6405    14.6392     0.0013   295.0000     9.7820     9.544
      7     0.3300     0.3300     0.0000      5.669      5.000  22200.000      6.000    41.2537    86.8878   -11.8532     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5489    14.6405    14.6392     0.0013   295.0000     9.7837     9.525
      8     0.3350     0.3350     0.0000      5.672      3.000  22200.000      6.000    41.2537    86.7992   -12.0343     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5573    14.6405    14.6392     0.0013   295.0000     9.7837     9.525
      9     0.3400     0.3400     0.0000      5.701      5.000  22200.000      6.000    41.2537    86.7087   -12.2154     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5656    14.6405    14.6392     0.0013   295.0000     9.7172     9.540
     10     0.3450     0.3450     0.0000      5.661      4.000  22200.000      6.000    41.2537    86.6191   -12.3946     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5739    14.6405    14.6392     0.0013   295.0000     9.7807     9.540
     11     0.3500     0.3500    -0.0000      5.621      4.000  22200.000      6.000    41.2537    86.5354   -12.5757     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5822    14.6405    14.6392     0.0013   295.0000     9.7804     9.533
     12     0.3550     0.3550    -0.0000      5.666      2.000  22200.000      6.000    41.2537    86.4439   -12.7558     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5905    14.6405    14.6392     0.0013   295.0000     9.7804     9.533
     13     0.3600     0.3599     0.0000      5.636      0.000  22200.000      6.000    41.2537    86.3484   -12.9349     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5988    14.6405    14.6392     0.0013   295.0000     9.7185     9.518
     14     0.3650     0.3650    -0.0000      5.636      3.000  22200.000      6.000    41.2537    86.2657   -13.1170     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.6072    14.6405    14.6392     0.0013   295.0000     9.7778     9.531
     15     0.3700     0.3700    -0.0000      5.650      5.000  22200.000      6.000    41.2537    86.1722   -13.2971     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.6155    14.6405    14.6392     0.0013   295.0000     9.7813     9.500
     16     0.3750     0.3749    -0.0000      5.705      0.000  22200.000      6.000    41.2537    86.0827   -13.4763     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.6237    14.6405    14.6392     0.0013   295.0000     9.7813     9.500
     17     0.3800     0.3800    -0.0000      5.671      3.000  22200.000      6.000    41.2537    85.9931   -13.6593     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.6322    14.6405    14.6392     0.0013   295.0000     9.7099     9.510
     18     0.3850     0.3850    -0.0000      5.692      0.000  22200.000      6.000    41.2537    85.9026   -13.8385     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.6404    14.6405    14.6392     0.0013   295.0000     9.7828     9.538
     19     0.3900     0.3899    -0.0000      5.597      2.000  22200.000      6.000    41.2537    85.8150   -14.0186     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.6487    14.6405    14.6392     0.0013   295.0000     9.7865     9.547
     20     0.3950     0.3950     0.0000      5.646      5.000  22200.000      6.000    41.2537    85.7185   -14.2017     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.6571    14.6405    14.6392     0.0013   295.0000     9.7865     9.547
     21     0.4000     0.3999    -0.0000      5.636      1.000  22200.000      6.000    41.2537    85.6309   -14.3798     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.6653    14.6405    14.6392     0.0013   295.0000     9.7135     9.492
