# scan = 35
# date = 11/8/2003
# time = 11:51:07 PM
# experiment = TbPtIn single crystal;  100 plane
# experiment_number = 41
# command = scan h 0 k 0 l 0.3 2.7 .005 preset 6
# builtin_command = scan h 0 k 0 l 0.3 2.7 .005 preset 6
# users = O.Garlea, C.Stassis, J.L.Zarestky
# local_contact = J.L.Zarestky
# scan_title = 00l scan
# monochromator = PG002
# analyzer = Pg002
# sense = +-+
# collimation = 48-40-40-102
# samplename = TbPtIn
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 7.554017,7.554017,3.847681,90.000000,90.000000,120.000000
# ubmatrix = -0.008230,-0.004834,0.259516,-0.134256,-0.130074,-0.012979,0.072618,-0.080146,0.005414
# mode = 0
# plane_normal = -0.022217,-0.027363,0.999379
# ubconf = C:\User\exp41\UBConf\UB08Nov2003_100555PM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 6.000000
# def_x = l
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu         m2         s1         s2        sgl        sgu        stl        stu         a1         a2          q         ei         ef          e       temp    coldtip    tsample
      1     0.0000     0.0000     0.3000      5.570      6.000  22200.000      6.000    41.2537    -2.4705   -10.5767     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.4900    14.6405    14.6392     0.0013   295.0000     9.7336     9.450
      2     0.0000     0.0000     0.3049      5.652      1.000  22200.000      6.000    41.2537    -2.5591   -10.7499     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.4980    14.6405    14.6392     0.0013   295.0000     9.7369     9.464
      3     0.0000     0.0000     0.3100      5.651      6.000  22200.000      6.000    41.2537    -2.6476   -10.9280     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5062    14.6405    14.6392     0.0013   295.0000     9.7369     9.464
      4     0.0000     0.0000     0.3150      5.624      5.000  22200.000      6.000    41.2537    -2.7372   -11.1042     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5143    14.6405    14.6392     0.0013   295.0000     9.7374     9.437
      5     0.0000     0.0000     0.3200      5.604      4.000  22200.000      6.000    41.2537    -2.8238   -11.2824     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5226    14.6405    14.6392     0.0013   295.0000     9.6709     9.442
      6     0.0000     0.0000     0.3250      5.578      1.000  22200.000      6.000    41.2537    -2.9134   -11.4576     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5306    14.6405    14.6392     0.0013   295.0000     9.6709     9.442
      7     0.0000     0.0000     0.3300      5.613      5.000  22200.000      6.000    41.2537    -3.0010   -11.6357     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5389    14.6405    14.6392     0.0013   295.0000     9.7473     9.526
      8     0.0000     0.0000     0.3350      5.623      3.000  22200.000      6.000    41.2537    -3.0906   -11.8129     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5470    14.6405    14.6392     0.0013   295.0000     9.6746     9.444
      9     0.0000     0.0000     0.3399      5.607      2.000  22200.000      6.000    41.2537    -3.1772   -11.9881     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5551    14.6405    14.6392     0.0013   295.0000     9.7508     9.449
     10     0.0000     0.0000     0.3450      5.643      6.000  22200.000      6.000    41.2537    -3.2657   -12.1682     1.2730    -1.5670    -0.0020    -0.0010    20.6267    41.2556     0.5634    14.6405    14.6392     0.0013   295.0000     9.7508     9.449
